Items,Sources,Brief Descriptions,Descriptions
"mindfulness, attending to our body and sensations","Frameworks (IRC Social and Emotional Learning Competencies), Frameworks (Social, Emotional, and Ethical (SEE) Learning Framework)","Mindfulness is cross-cutting throughout IRC’s approach to SEL, addressing skills in all five competencies. Mindfulness is defined as: the state of being aware and focused on the present moment; accepting the present while being open and curious about what is happening around and inside us. Students learn the benefits of mindfulness for reducing feelings of anxiety and stress, focusing their attention and learning to persevere through hardship.///Notice and describe sensations in the body, especially those related to stress and well-being",///
modesty,Frameworks (ACT Holistic Framework),"Being humble about achievements, presenting a realistic view of himself or herself, and avoiding boasting or acting superior to others",
"Mood and Happiness, Mood Stability, Mood, Sadness (2), Sadness and Low Mood, General Happiness, General Mood, Sadness Indicators","Clinical scales (Emotional Well-Being), Clinical scales (Emotional Regulation), Clinical scales (Emotional Well-Being), Clinical scales (Mood & Outlook), Claude Opus 4.5 (Mood), Clinical scales (Emotional Well-Being), Claude Opus 4.5 (Mood), Claude Opus 4.5 (Mood and Outlook), Claude Opus 4.5 (Mood and Outlook)",General emotional state and outlook///Consistency of emotional state///Typical emotional state///Persistent unhappiness or low mood///Presence of low or depressed mood///Signs of unhappiness or withdrawal///Overall positive emotional tone///Typical emotional state///Signs of low mood or unhappiness,"The student's typical emotional tone, including general cheerfulness, contentment, and capacity for enjoyment in daily activities///The degree to which a student maintains a relatively stable emotional baseline versus experiencing frequent or rapid shifts between different mood states///The student's general emotional tone and typical mood patterns throughout the school day and over time.///The frequency and depth of a student's feelings of sadness, unhappiness, or emotional pain that persist beyond typical responses to disappointing events///The degree to which a student displays low spirits///Observable indicators that the student may be experiencing persistent sadness, loss of interest, hopelessness, or emotional withdrawal///The degree to which a student typically displays contentment///The student's characteristic or predominant emotional tone observed across typical school days and activities.///Observable behaviors or expressed statements suggesting the student is experiencing persistent unhappiness, hopelessness, or low spirits."
Morning Routine,FACETS (Behavior Control and Regulation),being ready when arriving at school,"Most people have a set of behaviors or actions for the beginning of each day that generally follow in a usual order and are designed to complete necessary tasks in preparation for the day’s activities. They begin with arising with sufficient time to avoid being late for the start of school, work or other daytime obligations; routines may include activities such as toileting, hygiene, dressing appropriately, eating, gathering one’s necessary belongings, and departing in a timely fashion so as to arrive at the first appointment of the day. Typically these routines are well-established so that they occur relatively automatically, obviating the need for detailed thinking about each task. In some cases, the individual does some preparation the evening before, in order to assure prompt completion of morning routines."
"negotiates to resolve conflict, students demonstrate the ability to prevent, manage, and resolve interpersonal conflicts in constructive ways, negotiation/refusal skills, Conflict Management, Conflict Resolution (4), negotiation, negotiation skills, child uses basic problem-solving skills to resolve conflicts with other children, peaceful conflict resolution, conflict resolution skills, conflict transformation","Frameworks (Employability Skills), Frameworks (K-12 SEL Standards (Anchorage)), Frameworks (WHO Skills for Health), Claude Opus 4.5 (Social Functioning), Claude Opus 4.5 (Social Relationships), GPT 5.2 Thinking (Interacting with Others), Gemini 3 Pro (Interacting with Others), Frameworks (K-3 SEL Standards (Connecticut)), Frameworks (UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework), Frameworks (Head Start), Frameworks (Developmental Assets (ages 12-18)), Frameworks (IRC Social and Emotional Learning Competencies), Frameworks (Social, Emotional, and Ethical (SEE) Learning Framework)","Student keeps team members on track, suggests alternatives, and discusses options (can be as much about agreement as conflict).///Full set of indicators in framework.///negotiation and conflict management assertiveness skills refusal skills///Handling disagreements constructively///Handling disagreements constructively///working through disagreements safely and respectfully///resolving disagreements peacefully///Full set of indicators in framework.///In its simplest form, negotiation can be defined as a process of communication between at least two parties aimed at reaching agreements on their “perceived divergent interests” (Pruitt, 1998). Therefore, while the core life skill ‘negotiation’ relates to a process, it translates into the ability of an individual to interactively and effectively partake in a negotiation process until its conclusion by and among others, respecting others while being assertive, being cooperative, using communication skills, showing leadership skills while being civil, saying no when one’s wellbeing is threatened, etc.///Students are able to engage in a discussion with different parties with the aim of reaching an agreement that is suitable for all the involved parties. It’s a process of communication between two parties aimed at reaching agreements on their “perceived divergent interests ”.///Child uses basic problem-solving skills to resolve conflicts with other children///Young person seeks to resolve conflict nonviolently.///The set of skills which helps us address problems and conflicts between individuals in a positive manner as they arise.///Respond constructively to conflict and facilitate collaboration, reconciliation, and peaceful relations","/////////The student's capacity to navigate interpersonal conflicts, disagreements, or social problems through communication, compromise, or appropriate help-seeking rather than aggression or withdrawal.///The degree to which a student can navigate interpersonal conflicts///Conflict resolution reflects how a student handles disagreements with peers or adults. Strong skills include using words to describe the problem, listening to others, negotiating, and seeking adult help when needed. Difficulty may be seen in escalation, retaliation, refusal to compromise, or difficulty letting go of minor conflicts.///Conflict resolution is the process of resolving a dispute or a conflict by meeting at least some of each side's needs and addressing their interests. It involves using communication skills, negotiation, and compromise to settle arguments with peers without resorting to aggression or needing constant adult intervention./////////////////////"
New Situations,Clinical scales (Adaptability),Handling unfamiliar experiences,"The student's comfort level and ability to cope when facing new people, places, activities, or challenges."
"observes carefully, Nonverbal Communication, Understanding Nonverbal Cues, students can read social cues","Frameworks (Employability Skills), Claude Opus 4.5 (Communication), GPT 5.2 Thinking (Receptive Communication), Frameworks (K-12 SEL Standards (Anchorage))","Student interprets verbal and nonverbal communication efforts of others.///Body language and gestures///interpreting tone, facial expressions, gestures, and body language///Full set of indicators in framework.","///The student's use and interpretation of facial expressions, body posture, eye contact, and gestures in social interactions.///Understanding nonverbal cues involves interpreting communication beyond words, including tone of voice, facial expression, gestures, and body posture. These cues help students know when someone is joking, serious, upset, or inviting conversation. Difficulty may show as misreading others’ emotions, missing subtle cues, or responding in ways that seem mismatched to the situation.///"
Obsessive Thoughts,FACETS (Emotional Expression),managing recurring thoughts or ideas,"Sustained, recurring, goal-directed thoughts or ideas assist in focussing attention and activity in support of completing a task. In addition to helping sustain attention or focus, revisiting the thought or idea supports problem-solving or re-working options necessary to achieve a goal. When these thoughts are persistent and intrusive, they interfere with social, behavioral, and/or cognitive function. Persistent thoughts may include perseveration on specific or irrelevant topics, numbers, words, sounds, or tasks."
open-minded,Frameworks (IB Learner Profile),"We critically appreciate our own cultures and personal histories, as well as the values and traditions of others. We seek and evaluate a range of points of view, and we are willing to grow from the experience.",
"patience (2), Waiting & Turn-Taking","Frameworks (ACT Holistic Framework), Clinical scales (Activity Level), Clinical scales (Impulse Control)",Tolerating frustrations presented by others or by situations without expressing irritation or hostility///Ability to wait///Patience in structured situations,"///The student's capacity to wait their turn, delay gratification, and tolerate situations that require waiting.///A student's ability to wait their turn, stand in line, delay gratification, and refrain from interrupting others during conversations or activities"
"Perseverance (2), persistence (2), Effort and Persistence, persisting, child persists in tasks","FACETS (Disposition), Frameworks (IRC Social and Emotional Learning Competencies), Frameworks (ACT Holistic Framework), Claude Opus 4.5 (Motivation and Engagement), Claude Opus 4.5 (Academic Engagement), Frameworks (Habits of Mind), Frameworks (Head Start)","persisting when undertaking tasks///The set of skills that allows us to push through challenges and continue to work towards a realistic goal.///Working hard, making progress on relevant tasks, and maintaining focus despite setbacks or difficulties///Continuing despite difficulty///Willingness to work hard and keep trying///Efficacious people stick to a task until it is completed. They don't give up easily. They are able to analyze a problem, to develop a system, structure, or strategy to attack a problem. They employ a range and have repertoire of alternative strategies for problem solving. They collect evidence to indicate their problem-solving strategy is working, and if one strategy doesn't work, they know how to back up and try another. They recognize when a theory or idea must be rejected and another employed. They have systematic methods of analyzing a problem which include knowing how to begin, knowing what steps must be performed, and what data need to be generated or collected. Because they are able to sustain a problem solving process over time, they are comfortable with ambiguous situations.///Child persists in tasks","Perseverance is the ability to keep working on tasks, even in the face of obstacles such as distractions, difficulties, and delays. Determination and commitment to acquiring knowledge and skills is a powerful force for most youth, however, it requires the ability to stay focused on a task and continue working, even in the face of interference and disruptions./////////The student's tendency to keep working on challenging tasks rather than giving up, including bouncing back after initial failures.///The degree to which a student invests energy in learning tasks and continues working through challenges or setbacks.//////"
"Personal Goals, goals","GPT 5.2 Thinking (Sense of Self), Frameworks (ACT Holistic Framework)","identifying personal goals and reflecting on progress over time///Ideal, provisional aspirations or realistic and specified future education or career activities an individual wants to pursue","Personal goals refer to a student’s ability to set age-appropriate goals (academic, social, or personal) and reflect on progress. Goal setting can support motivation and self-direction when goals are realistic and supported. Difficulty may show as inability to identify goals, goals that are unrealistic, or limited reflection on what helped or hindered progress.///"
"Physical Complaints, Physical Signs of Distress, Somatic Complaints","Clinical scales (Physical Well-Being), Clinical scales (Worry and Fear), Claude Opus 4.5 (Physical Well-Being)",Reports of bodily discomfort///Bodily responses to stress///Reports of physical discomfort,"The frequency of the student's complaints about headaches, stomachaches, or other physical symptoms without clear medical cause///Observable physical symptoms that accompany worry or fear, such as stomachaches, headaches, or complaints without medical cause.///The frequency with which the student reports or displays physical complaints such as headaches, stomachaches, or general discomfort without clear medical cause."
Physical Conduct,Claude Opus 4.5 (Behavior),Appropriateness of physical actions,The extent to which a student's physical behavior toward others and property is safe
Physical Restlessness,Clinical scales (Activity Level and Self-Control),Difficulty staying still or seated,"Observable patterns of fidgeting, squirming, leaving seat, or excessive movement in situations requiring calm and stillness"
Physically Harms Self,FACETS (Behavior Control and Regulation),causing injury to self,"Persistent thoughts of self-harm, especially thoughts that lead to actions causing harm, are always problematic, and usually require urgent attention. Self-harm may or may not have suicidal intent, although the risk for suicidal behavior is increased in the presence of self-harm. In moments of despair or incredible anger, typical individuals may rarely have thoughts of self-harm. However, these thoughts are readily recognized as inappropriate and quickly managed without any action directed toward self-harm."
"Physically or Emotionally Harms Others, Aggression, Aggression & Conflict","FACETS (Behavior Control and Regulation), Clinical scales (Behavior), Clinical scales (Conduct & Behavior)",causing physical or emotional harm to other persons///Hostile or harmful behavior///Physical and verbal hostility,"Persistent thoughts of harm to others, especially those that lead to actions that cause harm are always problematic, and usually require urgent attention. Harm to others may also include emotional harm. Ideas about harming others usually has no homicidal intent, however, these wishes to cause physical or emotional harm to others may lead to serious consequences. As a result, in the presence of these thoughts, careful evaluations are necessary, and targets of the harmful thoughts (e.g., animals, children, other adults) should be protected until the potential threat has passed.///The occurrence of behaviors intended to hurt, intimidate, or harm others physically, verbally, or relationally.///The frequency and intensity of a student's aggressive behaviors—including fighting, threatening, bullying, or being cruel to others"
"Planning and Organization, planning, executive functioning, Task Planning, order, Organization, plans/organizes, Task Organization, Prioritizing and Sequencing, action planning, organizes, manage projects","FACETS (Organization & Planning), Frameworks (Kenya TVET Values and Life Skills (VaLI) Framework), Frameworks (Sesame Workshop Global Framework for Learning), Claude Opus 4.5 (Organization and Planning), Frameworks (ACT Holistic Framework), Clinical scales (Attention and Focus), Frameworks (Employability Skills), Clinical scales (Organization & Planning), GPT 5.2 Thinking (Organization & Planning), Frameworks (ACT Holistic Framework), Frameworks (Employability Skills), Frameworks (21st Century Learning)","developing plans to complete tasks///Students are able to prioritize tasks and activities so as to ensure work is completed within expected timelines.///Use their working memory. Working memory, or the ability to hold information in mind and “work with it,” is a skill that supports learning in all content areas. Children learn to remember and follow a routine, rules, or directions using relevant information (e.g., remember a few items your family needs at the grocery store as you shop). Maintain focused attention. Children learn to resist distractions and instead use self-control to maintain focused attention. Persist at tasks. Children show self-control by stopping impulsive actions and reactions, and they learn to persist at tasks, sometimes delaying gratification or resisting distractions to continue the task at hand through frustration or challenges (e.g., getting dressed in the morning). If needed, they may break the task into smaller, more manageable components. Think flexibly. Children learn to think flexibly about a problem or situation by switching rules, doing the opposite, thinking about someone else’s perspective, applying different strategies or transitioning from one activity to another. Plan ahead. Children learn to anticipate and consider future needs in preparing for activities. They set goals and then develop and follow through on plans.///Breaking down and sequencing work///Planning and organizing tasks and materials, creating schedules, monitoring progress, and paying close attention to details///Ability to plan and manage tasks and materials///Student plans steps, procedures, and/or approaches for addressing tasks. This occurs naturally in most assignments, ranging from solving one problem to completing a long-term project.///Structuring and sequencing work///deciding what to do first and organizing steps to complete tasks///Based on an individual’s education or occupation choice, thinking through and specifying the preparatory steps one would take as an informed consumer to achieve that goal; formulating a practical and realistic course of action (e.g., deciding on tasks and timelines, building strategies, determining and allocating resources)///Student uses graphic organizer—outline, concept map, organization chart, tables, etc. to sort information/data.///Set and meet goals, even in the face of obstacles and competing pressures; Prioritize, plan and manage work to achieve the intended result","Planning and organization, often referred to as “executive functions,” make it possible to allocate cognitive and other resources to successfully sequence and complete tasks. Planning and organization are learned skills that require the appropriate application of attention, cognitive ability, and memoryin order to create and sustain a plan. This includes both short-term and long-term planning for projects, assignments, and other activities. It also includes the monitoring of these processes and plans in order to assure progress toward the desired goal. While younger children have difficulty with executive functions due to a limited concept of time, with maturity, it is possible to manage more and multiple complex tasks, with intermixed goals and objectives./////////The student's ability to understand what steps are needed to complete an assignment and approach tasks in a logical order.//////The student's capacity to keep track of belongings, manage time, prioritize tasks, and maintain orderly approaches to schoolwork and daily activities//////How well a student can organize tasks and activities—including breaking work into steps, planning ahead, and approaching assignments systematically///Prioritizing and sequencing reflect how a student chooses what to do first and how they order steps to complete an assignment. It supports managing multi-step tasks, avoiding missed components, and working efficiently. Difficulty may show as starting with less important parts, skipping steps, or feeling overwhelmed when several tasks compete for attention./////////"
"Play, pretend or symbolic play","FACETS (Interacting with Others), Frameworks (K-3 SEL Standards (Connecticut))",playing well alone and with others///Full set of indicators in framework.,"Play is a complex set of behaviors, largely for the purpose of enjoyment, but may also provide a tool for experimentation and problem-solving in a safe or non-competitive environment. Play activities include social and imaginary use of objects and relationships as well as opportunities to practice a full spectrum of social skills, behavioral control, problem solving and much more. The complexity and function of play develops along with the development of cognitive and motor function, routines and habits, knowledge and skills, and much more. Play takes place in individual and social contexts. It may include games and toys, as well as tools and tasks typically a part of daily work (e.g., pencils, cooking utensils, sports equipment, etc.). While these playful interactions may seem to be of little purpose, they are actually serious attempts at mastery, role-playing, and practice that sets the stage for real-life skills and activities. This actual nature of the practice varies as a result of a variety of factors including context, social relationships, and developmental age.///"
"purpose, sense of purpose","Frameworks (Character Lab), Frameworks (Developmental Assets (ages 12-18))","Having a purpose means being driven by something larger than yourself.///Young person reports that ""my life has a purpose.""",///
"Reading (2), comprehends written material, reading skills","FACETS (Academic Skills and School Functioning), Claude Opus 4.5 (Learning and Academics), Frameworks (Employability Skills), Frameworks (Employability Skills)","cognitive and mechanical elements of reading comprehension///Skills related to decoding and comprehension///Student uses/demonstrates reading skills by following written instructions/project directions, reviewing print and digital resources, completing worksheets, and asking questions about what they have read.///Student applies/demonstrates reading skills by interpreting written instructions/project directions and constructing responses, using print and online materials as resources, completing worksheets, and seeking clarification about what they have read.","Reading is the ability to decode written symbols for purposes of communication and learning. While reading most commonly focuses on symbols referred to as “letters” or “characters” from alphabets, in fact, decoding any symbols is a form of reading, including symbols such as logos, flags, and other devices. Reading most languages requires understanding of components of writing include grammar, syntax, punctuation, sentences, paragraphs etc.///The student's ability to read text accurately and fluently, understand what they read, and apply reading skills across subject areas.//////"
"reasoning and problem solving, applying past knowledge to new situations, responsible decision making and social problem solving, Cause-and-Effect Reasoning, reason effectively","Frameworks (Sesame Workshop Global Framework for Learning), Frameworks (Habits of Mind), Frameworks (K-3 SEL Standards (Connecticut)), GPT 5.2 Thinking (Learning with Reasoning and Abstraction), Frameworks (21st Century Learning)","Make connections. Children learn to process information, connect related information and prior knowledge, and then complete a task or solve a problem (e.g., our shoes are dirty so we need to wipe them on the mat before going indoors). Recognize cause and effect relationships. Children learn to recognize when one thing makes another thing happen (e.g., poking a bubble will make it pop). Compare, contrast, and sort. Children learn more about things by observing how certain characteristics are similar or different (e.g., color, shape, size, texture, or sound), and they classify, match, and sort objects based on those characteristics (e.g., putting all the blue objects into one group). Consider and choose from multiple solutions or options. Children learn to investigate multiple solutions or options to solve a problem. They think critically about each one and evaluate it, then choose the most appropriate or effective solution. Evaluate their choice. Children learn to reflect on the solution or decision they made and decide whether or not it was successful. If it was not the best choice, they may go back and try another option.///Intelligent human beings learn from experience. When confronted with a new and perplexing problem they will often draw forth experience from their past. They can often be heard to say, ""This reminds me of...."" or ""This is just like the time when I..."" They explain what they are doing now in terms of analogies with or references to previous experiences. They call upon their store of knowledge and experience as sources of data to support, theories to explain, or processes to solve each new challenge. Furthermore, they are able to abstract meaning from one experience, carry it forth, and apply it in a new and novel situation. Too often students begin each new task as if it were being approached for the very first time. Teachers are often dismayed when they invite students to recall how they solved a similar problem previously and students don't remember.///Full set of indicators in framework.///understanding how actions and events lead to outcomes///Use various types of reasoning (inductive, deductive, etc.) as appropriate to the situation","/////////Cause-and-effect reasoning refers to recognizing connections between actions, choices, and results. In school, it supports learning from consequences, predicting outcomes, and understanding explanations in academic content. Difficulty may appear as repeating the same choices without noticing patterns, surprise at predictable outcomes, or trouble explaining why something happened.///"
"Receptive Language, Receptive Communication, Receptive Listening","FACETS (Receptive Communication), Clinical scales (Communication), Claude Opus 4.5 (Communication)",recognizing and understanding words and gestures as communication///Understanding what others communicate///Understanding others' communications,"Receptive language is the capacity to comprehend verbal and non-verbal messages provided by others in the environment. It requires the ability to appreciate the nuances of communication (e.g., gesture, body posture, rhythm, volume, vocabulary, prosody, tone, etc.); each of these elements enhance the effectiveness and comprehension of communicative intent. In order to receive communication, the individual must attend to the critical elements of language, as well as the ability to focus on and interpret communication directed specifically at the individual, as well as more broadly with the environment. These skills grow in complexity over the course of the lifespan, however, there is considerable variability amongst individuals that depends on their biological make-up, cognitive ability, culture, and social experience.///The student's ability to comprehend verbal and nonverbal communication from teachers and peers///The degree to which a student accurately comprehends and processes verbal information and social cues from others."
"reflection, reflective","Frameworks (Clover Model), Frameworks (IB Learner Profile)","Reflection describes the need to create and make meaning. It involves making sense of one’s own experiences, emotions and thoughts to create a sense of personal identity. Humans are conscious creatures; in fact, many philosophers have argued that the ability to reflect and take perspective is what makes humans unique.///We thoughtfully consider the world and our own ideas and experience. We work to understand our strengths and weaknesses in order to support our learning and personal development",///
"relationship skills (2), social awareness and interpersonal skills, social relationships, interpersonal competence, interpersonal skills, Peer Connections, Friendships, relational behaviors, Peer Relationships (2), child engages in and maintains positive interactions and relationships with other children, relationship management, students develop constructive relationships, relationship building","Frameworks (Building Blocks for Learning), Frameworks (CASEL), Frameworks (K-3 SEL Standards (Connecticut)), Frameworks (Sesame Workshop Global Framework for Learning), Frameworks (Developmental Assets (ages 12-18)), Frameworks (Pratham Life Skills Framework), Clinical scales (Social Relationships), Clinical scales (Social Connections), Frameworks (ACT Holistic Framework), Claude Opus 4.5 (Social Functioning), Gemini 3 Pro (Interacting with Others), Frameworks (Head Start), Frameworks (Singapore Framework for 21CC and Student Outcomes), Frameworks (K-12 SEL Standards (Anchorage)), Frameworks (Room to Read Life Skills Education Learning Outcomes)","The ability to establish and maintain healthy and rewarding relationships with diverse individuals and groups. This includes communicating clearly, listening actively, cooperating, resisting inappropriate social pressure, negotiating conflict constructively and seeking and offering help when needed.///The ability to establish and maintain healthy and rewarding relationships with diverse individuals and groups. The ability to communicate clearly, listen well, cooperate with others, resist inappropriate social pressure, negotiate conflict constructively, and seek and offer help when needed. Communication Social engagement Relationship-building Teamwork///Full set of indicators in framework.///Identify and name the feelings of others. Children learn that others may have feelings that are different from their own. They learn to identify the feelings of others by using clues such as facial expressions and body language. Recognize and care about the needs and feelings of others. Children begin to not only identify the feelings of others but also care about them. They may show empathy by expressing support (e.g., drawing a picture to cheer up a friend) or by helping (e.g., helping parents with tasks). Understand what a friend is. Children learn that a friend is someone who cares about them and whom they care about. They learn that a friend can look different and have different likes, wants, and needs than their own. Develop and maintain friendships. Children learn to make and keep friends by engaging in fair ways to play (playing together, trading, taking turns), inviting others to play, and entering social groups. Cooperate with others. Children learn to work together to meet a shared goal, solving problems and resolving conflict along the way.///Young person has empathy, sensitivity, and friendship skills.///communication skills empathy appreciating diversity working with people: trust, respect, cooperation, collaboration///Making and keeping friends///Building and maintaining peer relationships///Self-initiated behaviors in relation to others that facilitate understanding different aspects of the environment and further an individual’s progress toward education or work goals///Connections with same-age classmates///quality of connections with classmates///Child engages in and maintains positive interactions and relationships with other children///A person who manages relationships well is able to establish and maintain healthy relationships through effective communication and is able to work with others to resolve conflicts.///Full set of indicators in framework.///Girls understand the importance of making friends with peers in their school and community. Girls are able to maintain healthy relationships with peers and friends. Girls have long-term peer relationships including significant friendships with other girls.","//////////////////The student's ability to form, develop, and maintain positive friendships and relationships with same-age peers.///A student's ability to make friends, maintain friendships over time, and experience the reciprocal give-and-take that characterizes healthy peer relationships//////The quality and nature of the student's interactions and relationships with classmates, including friendships, acceptance, and social standing.///Peer relationships refer to the general quality and stability of a student's social connections with classmates. This includes the ability to make friends, maintain friendships over time, and feel a sense of belonging within the peer group. Positive peer relationships are crucial for social support and school connectedness.////////////"
"resilience (2), resilience/persistence","Frameworks (The PRACTICE Model), Gemini 3 Pro (Emotional Well-Being), Frameworks (Vision of the Haitian Child in Society: Social Emotional Framework)","Resilience has been defined as the ability to “bounce back” from adversity and thrive in the context of risk. Resilience refers to a pattern over time that is characterized by good eventual adaptation despite risk, stressors, or adversity. It also is defined by the ability to appropriately and realistically connect future goals and opportunities to one’s own abilities, and to adapt as needed to situational constraints. Resilient individuals cope well with stressors and do not get derailed by stressful events but persist and remain optimistic. Although there are individual differences in stress tolerance, resilience generally is a learned process that is facilitated through positive and supportive interactions with the environment. Conscientiousness and low Neuroticism are two of the Big Five traits that align with resilience, along with Grit, but it is the expression of these traits under difficult circumstances that is the defining feature of resilience.///recovering from setbacks///Task Persistence Flexible Thinking Hope in the future/Optimism Coping with adversity and stress","///Resilience is the psychological strength to cope with stress and hardship. It is the ability to 'bounce back' from failures, disappointments, or adverse events. A resilient student can handle a poor grade or a social rejection without being overwhelmed, using the experience to learn and grow.///"
resistance skills,Frameworks (Developmental Assets (ages 12-18)),Young person can resist negative peer pressure and dangerous situations.,
"respect, respect and understanding, appreciating the fundamental equality of all","Frameworks (Singapore Framework for 21CC and Student Outcomes), Frameworks (Sesame Workshop Global Framework for Learning), Frameworks (Social, Emotional, and Ethical (SEE) Learning Framework)","A person demonstrates respect when he believes in his own self-worth and the intrinsic worth of all people.///Respect oneself and develop confidence in one’s abilities. Children will develop an awareness and appreciation of their own abilities, efforts, feelings, and differences. They will come to feel and express feelings of self-worth and confidence and will challenge themselves to try new things. Respect others, their capabilities, and their rights. Children will learn that it is their personal responsibility to respect others, regardless of their national, ethnic, linguistic, religious, or socio-economic background or their physical abilities. They will engage pro-socially with others as they develop an attitude of mutual respect and understanding. Appreciate similarities and differences in others. Children will develop a sense of common humanity as they learn about how people live, work, and play in their own community and around the world. Their learning will help break down stereotypes, demystify the “other,” and build empathy and understanding. Show respect for the cultural and national heritage of others. Children will learn to show respect and appreciation for the history, heritage, and celebrations of people from other cultures or nations.///Extend the realization of fundamental equality and common humanity to those outside one’s immediate community and ultimately to the world, recognizing those things that we all share in common as human beings, such as our aspiration for happiness and well- being and to avoid suffering",//////
Response to Feedback,GPT 5.2 Thinking (Academic Engagement),using feedback or correction to adjust work and approach,"Response to feedback describes how a student reacts to guidance, correction, and suggestions for improvement. A helpful response includes listening, asking clarifying questions, trying again, and making adjustments over time. Difficulty may show as shutting down, arguing, becoming embarrassed, or ignoring feedback, even when it is delivered supportively."
Response to Redirection,GPT 5.2 Thinking (Behavior Control and Regulation),"adjusting behavior after reminders, cues, or corrections","Response to redirection reflects how a student reacts when an adult provides a reminder or correction about expectations. Strong skills include acknowledging the cue, changing behavior, and returning to learning with minimal disruption. Difficulty may include arguing, escalating, needing multiple prompts, or showing lingering upset that interferes with re-engagement."
"Responsibility for Materials, Organization, Keeping Track of Things, Respect for Property, child appropriately handles and takes care of classroom materials","GPT 5.2 Thinking (Independence and Responsibility), Claude Opus 4.5 (Independence), Clinical scales (Organization & Planning), GPT 5.2 Thinking (Interpersonal Conduct), Frameworks (Head Start)",keeping track of materials and using belongings responsibly///Keeping track of materials and responsibilities///Managing materials and belongings///caring for classroom materials and others’ belongings///Child appropriately handles and takes care of classroom materials,"Responsibility for materials refers to managing personal and school items (e.g., notebooks, devices, supplies, assignments) and treating them with care. Strong responsibility supports readiness and reduces lost instructional time. Difficulty may be seen in frequent lost items, missing materials, damaged supplies, or needing repeated reminders to bring or return needed items.///The degree to which a student maintains order with belongings///A student's ability to keep track of necessary items like assignments, books, supplies, and personal belongings without frequently losing them///Respect for property reflects how a student treats shared spaces and materials, as well as peers’ belongings. It includes handling items carefully, returning materials, and cleaning up appropriately. Difficulty may be seen in careless handling, damaging items, taking others’ belongings without permission, or leaving messes that affect the group.///"
"Responsibility for Self & Others, responsibility, Taking Responsibility, students have a sense of personal responsibility, be responsible to others","FACETS (Interacting with Others), Frameworks (Singapore Framework for 21CC and Student Outcomes), Claude Opus 4.5 (Independence), Frameworks (K-12 SEL Standards (Anchorage)), Frameworks (21st Century Learning)","accepting responsibility for actions taken by self or others///A person who is responsible recognizes that he has a duty to himself, his family, community, nation and the world, and fulfills his responsibilities with love and commitment.///Ownership of actions and obligations///Full set of indicators in framework.///Act responsibly with the interests of the larger community in mind","Responsibility is the willingness and ability to appropriately manage or control self, situations and/or the actions of other individuals. The ability to assume responsibility begins with managing one’s own actions, emotions, and cognitions, then gradually expands to being more in control of interactions with others and broader elements of the environment. When faced with new tasks or uncertainty, there may be cautionary over-control followed by fading to a balance between self-control and sharing control with others.//////The extent to which a student accepts accountability for their behavior//////"
"Risk Taking, taking responsible risks, risk-takers","FACETS (Behavior Control and Regulation), Frameworks (Habits of Mind), Frameworks (IB Learner Profile)","taking chances to achieve goals when faced with possible failure embarrassment or harm///Flexible people seem to have an almost uncontrollable urge to go beyond established limits. They are uneasy about comfort; they ""live on the edge of their competence"". They seem compelled to place themselves in situations where they do not know what the outcome will be. They accept confusion, uncertainty, and the higher risks of failure as part of the normal process and they learn to view setbacks as interesting, challenging and growth producing. However, they are not behaving impulsively. Their risks are educated. They draw on past knowledge, are thoughtful about consequences and have a well-trained sense of what is appropriate. They know that all risks are not worth taking! Risk taking can be considered in two categories: those who see it as a venture and those who see it as adventure. The venture part of risk taking might be described by the venture capitalist. When a person is approached to take the risk of investing in a new business, she will look at the markets, see how well organized the ideas are, and study the economic projections. If she finally decides to take the risk, it is a well considered one.The adventure part of risk taking might be described by the experiences from project adventure. In this situation, there is a spontaneity, a willingness to take a chance in the moment. Once again, a person will only take the chance if they know that there is either past history that suggests that what they are doing is not going to be life threatening or if they believe that there is enough support in the group to protect them from harm. Ultimately, the learning from such high-risk experiences is that people are far more able to take actions than they previously believed. It is only through repeated experiences that risk taking becomes educated. It often is a cross between intuition, drawing on past knowledge and a sense of meeting new challenges. Bobby Jindal, executive Director of the National Bipartisan Commission on the Future of Medicare states, “The only way to succeed is to be brave enough to risk failure. “ (Briggs, 1999 p 2A) When someone holds back from taking risks, he is confronted constantly with missed opportunities. Some students seem reluctant to take risks. Some students hold back games, new learning, and new friendships because their fear of failure is far greater than their experience of venture or adventure. They are reinforced by the mental voice that says, “ if you don’t try it, you won’t be wrong” or “if you try it and you are wrong, you will look stupid”. The other voice that might say, “if you don’t try it, you will never know” is trapped in fear and mistrust. They are more interested in knowing whether their answer is correct or not, rather than being challenged by the process of finding the answer. They are unable to sustain a process of problem solving and finding the answer over time, and therefore avoid ambiguous situations. They have a need for certainty rather than an inclination for doubt. We hope that students will learn how to take intellectual as well as physical risks. Students who are capable of being different, going against the grain of the common, thinking of new ideas and testing them with peers as well as teachers, are more likely to be successful in this age of innovation and uncertainty.///We approach uncertainty with forethought and determination; we work independently and cooperatively to explore new ideas and innovative strategies. We are resourceful and resilient in the face of challenges and change.","Risk taking is the ability to overcome the possibility of failure, embarrassment, or harm in order to achieve a specific goal or to acquire a particular want or need. Appropriate risk taking requires a sensible analysis of the balance between outcomes and the possible consequences of a particular action.//////"
