Framework,Term,Definition
Kenya TVET Values and Life Skills (VaLI) Framework,social justice,"Students are able to demonstrate fair treatment of each other and promote of equity. To work towards creating a society driven by respect for human dignity, equity, solidarity and elimination of inequalities and discrimination. Also equal worth of all citizens."
Kenya TVET Values and Life Skills (VaLI) Framework,respect,"Students are able to have positive regard towards self and others without prejudice; treating others in an appropriate way. The person exhibits a level of open-mindedness and willingness to understand and appreciate others. Respect should go hand in hand with humility, patience, acceptance and etiquette"
Kenya TVET Values and Life Skills (VaLI) Framework,integrity,"Students are able to have the ability to know, defend and do what is right at all times. One should exhibit commitment, courage, honesty, transparency, fairness and accountability. Students should be true to themselves, their values and their word."
Kenya TVET Values and Life Skills (VaLI) Framework,responsibility,"Students are able to recognize their role and function and proactively carrying it out to the best of their ability including caring for personal property, engaging in assigned roles and duties at home, school and in the wider community. The student should exhibit qualities such as accountability, diligence, self-drive, determination, and excellence"
Kenya TVET Values and Life Skills (VaLI) Framework,peace,"Students are able to be in a state of tranquility and harmony with oneself and among people. This can be modelled by creating an atmosphere of love, respect, tolerance, justice and solidarity"
Kenya TVET Values and Life Skills (VaLI) Framework,resilience,"Students are able to have the ability to recover quickly from difficult situations, in essence demonstrating survival skills, adaptability and flexibility. It’s also the ability to cope with life situations and bounce back from adversity."
Kenya TVET Values and Life Skills (VaLI) Framework,patriotism,"Students demonstrate the quality of having vigorous support for their country and fulfilling the rights and responsibilities of being a citizen. Students are able to show love of one’s country, the immense pride one feels and being a law abiding citizen."
Kenya TVET Values and Life Skills (VaLI) Framework,regional citizenship,"Students are able to understand the rights, responsibilities, participation and membership at the regional level."
Kenya TVET Values and Life Skills (VaLI) Framework,global citizenship,Students are able to understand the idea of having rights and civic responsibilities that come with being a member of the world. They understand their responsibilities as a global citizen. Students identify with being part of an emerging world community and their actions contribute to building the community’s values and practices.
Kenya TVET Values and Life Skills (VaLI) Framework,unifying global diversity,Students have knowledge on the aspects that differentiate groups and people from one another and understanding one another by surpassing simple tolerance to ensure people truly value their differences and commonalities and to apply this value in finding sustainable global solutions. Students should demonstrate global awareness and recognition of the difference and commonalities among people from which they can understand each other
Kenya TVET Values and Life Skills (VaLI) Framework,environmental sustainability,"Students are conscious on how to harvest renewable resources, efficient resource use and management (including disposal), demonstrate responsiveness to activities that are sustainable to the environment, and knowledge on how pollution creation and non-renewable resource depletion can be discontinued . Students are able to know the state in which the demands placed on the environment can be met without reducing its capacity to allow for all people to live well, now and in the future."
Kenya TVET Values and Life Skills (VaLI) Framework,governence and leadership,"Students are able to understand how to offer strategic direction to a team, as well as generate policies, plan effectively, provide oversight and regulation while also providing motivation and partnerships that integrate all systems’ building blocks to achieve results."
Kenya TVET Values and Life Skills (VaLI) Framework,personal branding,Students have the ability of to market themselves and their careers effectively as a brand; positioning themselves. This is a set of values and characteristics that describe who they are and guide their choices in work and life.
Kenya TVET Values and Life Skills (VaLI) Framework,intrapreneurship,"Students are able to have the interest and spirit to understand and engage in entrepreneurship. Develop the drive of the student to be an entrepreneur while working within a large organization; creating new initiatives that will benefit the organization/company more than the individual. The student seizes the opportunities such as independence, creativity, passion and puts that spirit to practice inside a business environment."
Kenya TVET Values and Life Skills (VaLI) Framework,self-management,"Students are able to take responsibility for one's own behavior and well-being at the work place in order to effectively undertake and manage assigned tasks. This includes effective time-management, stress management, self-protection and are part of emotional intelligence."
Kenya TVET Values and Life Skills (VaLI) Framework,planning,Students are able to prioritize tasks and activities so as to ensure work is completed within expected timelines.
Kenya TVET Values and Life Skills (VaLI) Framework,teamwork,Students are able to work well within a team; offering input and support to the team leading to completing tasks efficiently and effectively.
Kenya TVET Values and Life Skills (VaLI) Framework,ethics,"Students are able to have a set of moral principles that govern their behavior within the work place. The students demonstrate the ability to tell the difference between right and wrong acts, and the discipline to always do the right thing . At a workplace, it is a determining factor for people to work together."
Kenya TVET Values and Life Skills (VaLI) Framework,critical thinking,"Students are able to objectively analyze and evaluate an issue in order to form a judgement. Students are equipped with higher order functioning skills that allows analysis of information in a more objective manner to make balanced decisions and solve problems. One learns to assess situations and assumptions, ask questions and develop various ways of thinking."
Kenya TVET Values and Life Skills (VaLI) Framework,creative thinking,"Students are able to look at problems or situations from a fresh perspective that aid in finding sustainable solutions. The ability to generate, articulate or apply inventive ideas, techniques or perspectives. Closely relates to critical thinking and problem solving skills."
Kenya TVET Values and Life Skills (VaLI) Framework,innovation,Students are able to create something new or devise a new method of doing things
Kenya TVET Values and Life Skills (VaLI) Framework,problem solving,"Students demonstrate the ability of finding solutions to both simple and complex issues. The ability to think through various steps, identifying and understanding a problem and devising a solution to address it."
Kenya TVET Values and Life Skills (VaLI) Framework,decision making,Students are able to reach a resolution/conclusion to an issue after putting all factors into consideration. Students demonstrate the cognitive ability to choose between options within a set of influencing factors and constraints. A preferred option or course of action is selected from among a set of alternatives using a certain criterion.
Kenya TVET Values and Life Skills (VaLI) Framework,visioning,"Students are able to develop a plan, goal or vision for the future. It helps them to define what and where they want to be in life as well as define what success will look like."
Kenya TVET Values and Life Skills (VaLI) Framework,learning to learn,"The cognitive process of learning (what and how do we learn). Students have aspiration, self awareness, curiosity and vulnerability to understand and master new skills."
Kenya TVET Values and Life Skills (VaLI) Framework,communication skills,"Students are able to receive, perceive and send information to other people efficiently. It is a two-way exchange of information and understanding. Communication skills are an essential source of self-worth and self-efficacy."
Kenya TVET Values and Life Skills (VaLI) Framework,collaboration,Students are able to work with others to produce something.
Kenya TVET Values and Life Skills (VaLI) Framework,negotiation skills,Students are able to engage in a discussion with different parties with the aim of reaching an agreement that is suitable for all the involved parties. It’s a process of communication between two parties aimed at reaching agreements on their “perceived divergent interests ”.
Kenya TVET Values and Life Skills (VaLI) Framework,self-concept,"Students are able to have an idea of self, constructed from the beliefs one holds about one self and the responses to others."
Kenya TVET Values and Life Skills (VaLI) Framework,empathy,Students are able to understand and share in the feelings of another. It is the ability to comprehend another’s feeling without being judgmental. A skill that helps pursue positive relationship and is vital in conflict management and conflict resolution.
Kenya TVET Values and Life Skills (VaLI) Framework,personal expression,"Students are able to express their personality, feelings or opinions to others in a respectful manner"
Kenya TVET Values and Life Skills (VaLI) Framework,stress management,Students are able to control their level of stress for everyday functioning. Students increase their ability to deal constructively with stressful life events. It increases one’s competence and awareness to cope successfully with a wider range of environmental and social demands.
Kenya TVET Values and Life Skills (VaLI) Framework,attitude,Students are able to have a settled way of thinking or feeling about something.
LEGO&#x27;s Skills for Holistic Development,emotional skills,"Understand, manage and express emotions by building self-awareness and handling impulses, as well as staying motivated and confident in the face of difficulties."
LEGO&#x27;s Skills for Holistic Development,cognitive skills,"Concentration, problem solving and flexible thinking by learning to tackle complex tasks and building effective strategies to identify solutions."
LEGO&#x27;s Skills for Holistic Development,physical skills,"Being physically active, understanding movement and space through practicing sensory-motor skills, developing spatial understanding and nurturing an active and healthy body."
LEGO&#x27;s Skills for Holistic Development,social skills,"Collaborate, communicate and understand other people’s perspectives through sharing ideas, negotiating rules and building empathy."
LEGO&#x27;s Skills for Holistic Development,creative skills,"Coming up with ideas, expressing them and transforming them into reality by creating associations, symbolising and representing ideas and providing meaningful experiences for others."
MELQO MODEL Framework,working memory,"Working memory is defined as the ability to store and mentally manipulate memory contents (Baddeley and Hitch, 1974; Davidson et al., 2006). Working memory is positively related to general intellectual functioning, mathematics and reading comprehension (Monette et al., 2011; Passolunghi et al., 2007; Swanson and Jerman, 2007; Lesaux et al., 2007). Issues with working memory are associated with difficulty following multistep directions, forgetfulness and inattention (Bignell and Cain, 2007; Engle et al., 1991; Gathercole et al., 2006). Verbal working memory is a weak but significant predictor of attentional ability in everyday activities, such as remembering long sentences and phone numbers (Groth-Marnat and Baker, 2003). Working memory is similarly important for learning, and may be closely related to inhibitory control. In young children (2 to 6 years old), measures of working memory and inhibitory control are strongly related to one another and can be assessed using the same tasks (Wiebe et al., 2008)."
MELQO MODEL Framework,inhibitory control,"Inhibitory control refers to the ability to suppress the processing of irrelevant yet dominant stimuli or responses (Nigg, 2000). Inhibitory control, along with flexible switching, has been identified as one of the first executive function skills to emerge, developing quickly during the pre-school years (Diamond and Doar, 1989; Diamond et al., 2002). Inhibitory control skills help children suppress inappropriate behaviours and thoughts that may distract them from instruction (Alexander et al., 1993; Blair, 2002; Sa?ez et al. 2012). Further, these skills are essential for cognition, educational attainment and social functioning (Blair, 2002; Espy et al., 2004). Measured prior to kindergarten, inhibitory control predicts mathematics skills in kindergarten; when measured in kindergarten, it predicts mathematics and early literacy skills in primary school (Blair and Razza, 2007)."
MELQO MODEL Framework,self-regulation,"Self-regulation refers to the ability to control emotions and social behaviour in the interest of engagement and participation in both social interactions and independent work. It encompasses the regulation of one’s own emotions both in social contexts and non-social contexts (such as delayed gratification). This construct is also strongly related to executive function, specifically inhibitory control (Liew, 2012)."
MELQO MODEL Framework,social cognition,"Social cognition captures children’s abilities to think about and comprehend social relationships with others, recognize the feelings of others, and, if required, take actions that are meant to make others feel better. Social cognition encompasses empathy – children’s abilities to read others’ emotions and respond appropriately – as well as prosocial behaviour that includes helping others who may be in distress. Understanding the feelings of oneself and others includes the ability to (1) comprehend basic emotions (e.g. happiness, sadness and anger) and how these emotions are expressed, as well as their antecedents, causes and consequences; (2) recognize that emotions are complex (e.g. two individuals can feel two different emotions in response to the same event); and (3) distinguish rules for how to display basic and more complex emotions (e.g. shame or guilt). Accurate interpretation of the feelings of others provides important information about social situations and what constitutes appropriate responses."
MELQO MODEL Framework,social competence,"Social competence, or how well children develop and maintain relationships with peers and adults, is a construct that includes the ability to coexist and interact with others in a competent manner – essentially getting along with other children and adults, and being part of a social group. Social competence is an important developmental skill that children start learning from the moment they are born and which forms the foundation for a social human being."
MELQO MODEL Framework,emotional well-being,"Emotional well-being refers to aspects of optimal mental health that, if not evident in a child at this early stage, could predict more serious mental health problems, such as anxiety – a potential sign of post-traumatic stress disorder (PTSD); sadness, a potential precursor of depression; or the inability to control aggressive impulses – a precursor of oppositional and conduct disorders."
MESH,self-management,"Self-management, also referred to as “self-control” or “self-regulation,” is the ability to regulate one’s emotions, thoughts, and behaviors effectively in different situations. This includes managing stress, delaying gratification, motivating oneself, and setting and working toward personal and academic goals. Students with strong self-management skills arrive to class prepared, pay attention, follow directions, allow others to speak without interruption, and work independently with focus."
MESH,self-efficacy,"Self-efficacy is the belief in one’s ability to succeed in achieving an outcome or reaching a goal. Self-efficacy is related to whether a student believes that s/he has sufficient control over his/her environment in order to succeed. High self-efficacy reflects confidence in the ability to exert control over one's own motivation, behavior, and environment and allows students to become effective advocates for themselves."
MESH,growth mindset,"Growth mindset is the belief that one’s abilities can grow with effort. Students with a growth mindset believe that they can develop their skills through effort, practice, and perseverance. These students embrace challenges, see mistakes as opportunities to learn, and persist in the face of setbacks. By contrast, students with a fixed mindset believe that their own intelligence and talent are innate traits that don’t change. These students typically worry about not looking smart, get upset by mistakes, and give up sooner on tough tasks."
MESH,social awareness,"Social Awareness is the ability to take the perspective of and empathize with others from diverse backgrounds and cultures, to understand social and ethical norms for behavior, and to recognize family, school, and community resources and supports."
OECD,achievement orientation,Setting high standards for oneself and working hard to meet them.
OECD,responsibility,"Able to honour commitments, and be punctual and reliable."
OECD,self-control,Able to avoid distractions and focus attention on the current task in order to achieve personal goals.
OECD,persistence,Persevering in tasks and activities until they get done.
OECD,stress resistance,"Effectiveness in modulating anxiety and able to calmly solve problems (is relaxed, handles stress well)."
OECD,optimism,Postive and optimistic expectations for self and life in general.
OECD,emotional control,"Effective strategies for regulating temper, anger, and irritation in the face of frustrations."
OECD,empathy,Kindness and caring for others and their well-being that leads to valuing and investing in close relationships.
OECD,trust,Assuming that others generally have good intentions and forgiving those who have done wrong.
OECD,cooperation,Living in harmony with others and valuing interconnectedness among all people.
OECD,curiosity,"Interest in ideas and love of learning, understanding and intellectual exploration; an inquisitive mindset."
OECD,tolerance,"Is open to different points of view, values diversity, is appreciative of foreign people and cultures."
OECD,creativity,"Generating novel ways to do or think about things through exploring, learning from failure, insight and vision."
OECD,sociability,"Able to approach others, both friends and strangers, initiating and maintaining social connections."
OECD,assertiveness,"Able to confidently voice opinions, needs, and feelings, and exert social influence."
OECD,energy,"Approaching daily life with energy, excitement and spontaneity."
OECD,self-efficacy,The strength of individuals’ beliefs in their ability to execute tasks and achieve goals.
OECD,critical thinking/independence,The ability to evaluate information and interpret it through independent and unconstrained analysis.
OECD,self-reflection/meta-cognition,"Awareness of inner processes and subjective experiences, such as thoughts and feelings, and the ability to reflect on and articulate such experiences."
Pratham Life Skills Framework,self awareness,recognizing strengths and weaknesses identifying emotions self reflection self confidence
Pratham Life Skills Framework,self management,regulating emotions developing self esteem self discipline self motivation goal setting time management self care resilience
Pratham Life Skills Framework,interpersonal skills,"communication skills empathy appreciating diversity working with people: trust, respect, cooperation, collaboration"
Pratham Life Skills Framework,problem solving,creative thinking logical thinking critical thinking decision making decision making under challenging situations
Pratham Life Skills Framework,leadership,initiative innovation vision leading by example doing the right thing/making the right choice
Pratham Life Skills Framework,technical skills,"digitial literacy: computation, navigation, exploring infomration, documentation financial management"
Preparing Youth to Thrive,emotion management,Abilities to be aware of and constructively handle both positive and challenging emotions.
Preparing Youth to Thrive,empathy,"Relating to others with acceptance, understanding, and sensitivity to their diverse perspectives and experiences."
Preparing Youth to Thrive,teamwork,Abilities to collaborate and coordinate action with others.
Preparing Youth to Thrive,responsibility,Dispositions and abilities to reliably meet commitments and fulfill obligations of challenging roles.
Preparing Youth to Thrive,initiative,"Capacities to take action, sustain motivation, and persevere through challenge toward an identified goal."
Preparing Youth to Thrive,problem solving,"Abilities to plan, strategize, and implement complex tasks."
Room to Read Life Skills Education Learning Outcomes,self-competence,"Girls believe they have inner-worth and that they matter. Girls have a strong sense of identity and can describe positive attributes, strengths, and talents that they possess. Girls recognize and understand that their strengths and talents contribute positively to their family, school, and community."
Room to Read Life Skills Education Learning Outcomes,expressing & managing emotions,"Girls name their feelings and use verbal and nonverbal means of communicating them. Girls assertively express their feelings to their peers, family, and teachers. Girls can manage their emotions and understand how their behavioral response (actions and words) can impact others."
Room to Read Life Skills Education Learning Outcomes,empathy,"Girls use empathetic words towards their peers, friends, teacher, and family. Girls demonstrate empathetic behavior to others when they are in need of support and care. Girls understand that modeling empathetic communication and behaviors for younger girls in school and the community helps them learn how to be empathetic."
Room to Read Life Skills Education Learning Outcomes,self-control,"Girls understand what are appropriate behavioral choices and are able to practice some techniques in regulating their behavior. Girls demonstrate appropriate behavior at school, home, and with community members. Girls regulate their behavior and practice self-control in emotionally charged and conflict situations."
Room to Read Life Skills Education Learning Outcomes,critical thinking,Girls can ask questions about a concept or subject to gain better understanding. Girls can demonstrate how to think critically about a complex concept or new subject. Girls can critically analyze concepts and subject matter and share their perspective on it.
Room to Read Life Skills Education Learning Outcomes,decision-making,Girls understand the steps in decision-making and goal-setting and have developed skills of independence and initiative in making choices. Girls make short- and long-term goals for their schooling and future careers by examining issues and ideas from various perspectives. Girls analyze and discuss decisions points and give examples of steps they follow and why they make a specific decision or goal.
Room to Read Life Skills Education Learning Outcomes,perseverance,"Girls understand the importance of completing a task, chore, or assignment. Girls learn the steps necessary to complete a task, chore, or assignment. Girls are able to complete a task, chore, or assignment successfully even in the midst of challenges and obstacles."
Room to Read Life Skills Education Learning Outcomes,communication,"Girls demonstrate how to listen without interrupting their peer, friends, teachers, and family. Girls demonstrate effective listening skills: such as reflective listening, I-Statements, listening with empathy, and refusal skills with their peers and friends. Girls are able to listen to and consider others opinions, viewpoints, and feelings when making decisions and deciding what to do or believe."
Room to Read Life Skills Education Learning Outcomes,creative problem-solving,Girls can identify 2-3 steps that can be taken to solve a problem creatively or resolve a conflict. When girls are dealing with a problem or conflict situation they are able to be creative and choose an alternative plan or resolution. Girls demonstrate how to creatively manage conflicts and solve problems when working with peers.
Room to Read Life Skills Education Learning Outcomes,relationship building,Girls understand the importance of making friends with peers in their school and community. Girls are able to maintain healthy relationships with peers and friends. Girls have long-term peer relationships including significant friendships with other girls.
Sesame Workshop Global Framework for Learning,initiative and curiosity,"A desire to explore a range of topics, eagerly engage in activities, think and play creatively, and learn independently. Show an interest in learning. Learning begins with curiosity as children show an interest in learning and talking about a range of topics, ideas, and tasks (i.e., ask questions and seek new information). Show self-confidence in approaching new challenges. Children are open to learning more things when they have confidence in their abilities and are empowered to take on new challenges and experiences while developing new skills. Think and play imaginatively. Children learn through play. Their imagination paves the way for flexible thinking as they think beyond their immediate reality while playing alone or with others (e.g., fly like a butterfly). Think creatively and symbolically. Problem solving requires creative thinking and can also require the use of symbols to represent things beyond the here and now. Children learn these skills as they explore divergent uses of an object (e.g., use a table as a “tent”) and use one thing to represent another in play (e.g., line up chairs to be a “bus”)."
Sesame Workshop Global Framework for Learning,executive functioning,"Use their working memory. Working memory, or the ability to hold information in mind and “work with it,” is a skill that supports learning in all content areas. Children learn to remember and follow a routine, rules, or directions using relevant information (e.g., remember a few items your family needs at the grocery store as you shop). Maintain focused attention. Children learn to resist distractions and instead use self-control to maintain focused attention. Persist at tasks. Children show self-control by stopping impulsive actions and reactions, and they learn to persist at tasks, sometimes delaying gratification or resisting distractions to continue the task at hand through frustration or challenges (e.g., getting dressed in the morning). If needed, they may break the task into smaller, more manageable components. Think flexibly. Children learn to think flexibly about a problem or situation by switching rules, doing the opposite, thinking about someone else’s perspective, applying different strategies or transitioning from one activity to another. Plan ahead. Children learn to anticipate and consider future needs in preparing for activities. They set goals and then develop and follow through on plans."
Sesame Workshop Global Framework for Learning,reasoning and problem solving,"Make connections. Children learn to process information, connect related information and prior knowledge, and then complete a task or solve a problem (e.g., our shoes are dirty so we need to wipe them on the mat before going indoors). Recognize cause and effect relationships. Children learn to recognize when one thing makes another thing happen (e.g., poking a bubble will make it pop). Compare, contrast, and sort. Children learn more about things by observing how certain characteristics are similar or different (e.g., color, shape, size, texture, or sound), and they classify, match, and sort objects based on those characteristics (e.g., putting all the blue objects into one group). Consider and choose from multiple solutions or options. Children learn to investigate multiple solutions or options to solve a problem. They think critically about each one and evaluate it, then choose the most appropriate or effective solution. Evaluate their choice. Children learn to reflect on the solution or decision they made and decide whether or not it was successful. If it was not the best choice, they may go back and try another option."
Sesame Workshop Global Framework for Learning,emotional development and self-regulation,"Identify, name, and express their own emotions. Children learn to recognize and talk about their feelings, using words like happy, sad, surprised, frustrated, angry, and scared. They learn appropriate ways to express their feelings, like smiling, laughing, crying, dancing, singing, and drawing. They come to understand that their feelings can change over time or in different situations and that they can have more than one feeling at the same time. Regulate their emotions. Children learn to cope with and manage strong feelings appropriately. They become aware of clues inside their bodies to tell the difference between comfortable and uncomfortable feelings. They learn to use calming down strategies such as belly breathing to work through uncomfortable feelings in stressful or emotional situations. Regulate their behavior. Children control themselves in stressful and emotional situations. They may use self-regulation strategies such as self-talk, counting, or singing. Demonstrates self-control. Children resist a strong inclination to do one thing (overcoming an automatic response) and instead do what is most appropriate."
Sesame Workshop Global Framework for Learning,social relationships,"Identify and name the feelings of others. Children learn that others may have feelings that are different from their own. They learn to identify the feelings of others by using clues such as facial expressions and body language. Recognize and care about the needs and feelings of others. Children begin to not only identify the feelings of others but also care about them. They may show empathy by expressing support (e.g., drawing a picture to cheer up a friend) or by helping (e.g., helping parents with tasks). Understand what a friend is. Children learn that a friend is someone who cares about them and whom they care about. They learn that a friend can look different and have different likes, wants, and needs than their own. Develop and maintain friendships. Children learn to make and keep friends by engaging in fair ways to play (playing together, trading, taking turns), inviting others to play, and entering social groups. Cooperate with others. Children learn to work together to meet a shared goal, solving problems and resolving conflict along the way."
Sesame Workshop Global Framework for Learning,respect and understanding,"Respect oneself and develop confidence in one’s abilities. Children will develop an awareness and appreciation of their own abilities, efforts, feelings, and differences. They will come to feel and express feelings of self-worth and confidence and will challenge themselves to try new things. Respect others, their capabilities, and their rights. Children will learn that it is their personal responsibility to respect others, regardless of their national, ethnic, linguistic, religious, or socio-economic background or their physical abilities. They will engage pro-socially with others as they develop an attitude of mutual respect and understanding. Appreciate similarities and differences in others. Children will develop a sense of common humanity as they learn about how people live, work, and play in their own community and around the world. Their learning will help break down stereotypes, demystify the “other,” and build empathy and understanding. Show respect for the cultural and national heritage of others. Children will learn to show respect and appreciation for the history, heritage, and celebrations of people from other cultures or nations."
Sesame Workshop Global Framework for Learning,family and community,"Recognition and respect of diversity and unity in families and communities. Children developing an awareness of family and community learn to: Recognize that there are different types of families. Children come to identify and appreciate their own family. They learn to respect the families of others, even when those families do not look or behave like their own. Families can vary by number of people, gender, roles, responsibilities, appearances, etc. Understand that different families live in different types of homes. Children learn that not all families live in homes like their own. Families can live in different places (urban, rural, etc.) and in different types of buildings (apartments/flats, houses, huts, etc.). Recognize that people in the community have different jobs. Children learn and appreciate that different people contribute to their community by doing different types of work (e.g., police officer, teacher, shop owner, bus driver, sanitation worker, doctor, etc.). Identify and respect different community institutions, organizations, and cultural establishments. Children become familiar with different community institutions (e.g., libraries, schools, religious center, etc.), organizations, and establishments and they show respect for the people and cultures associated with them."
Singapore Framework for 21CC and Student Outcomes,respect,A person demonstrates respect when he believes in his own self-worth and the intrinsic worth of all people.
Singapore Framework for 21CC and Student Outcomes,harmony,A person who values harmony seeks inner happiness and promotes social cohesion. He appreciates the unity and diversity of a multi-cultural society.
Singapore Framework for 21CC and Student Outcomes,resilience,"A person who is resilient has emotional strength and perseveres in the face of challenges. He manifests courage, optimism, adaptability and resourcefulness."
Singapore Framework for 21CC and Student Outcomes,responsibility,"A person who is responsible recognizes that he has a duty to himself, his family, community, nation and the world, and fulfills his responsibilities with love and commitment."
Singapore Framework for 21CC and Student Outcomes,integrity,A person of integrity upholds ethical principles and has the moral courage to stand up for what is right.
Singapore Framework for 21CC and Student Outcomes,care,A person who is caring acts with kindness and compassion. He contributes to the betterment of the community and the world.
Singapore Framework for 21CC and Student Outcomes,self-awareness,"A person who understands his own emotions, strengths, inclinations and weaknesses is able to develop positive self-concept and self-worth."
Singapore Framework for 21CC and Student Outcomes,self-management,"A person who manages himself effectively is able to manage his own emotions, exercise self-discipline and display strong goal-setting and organizational skills."
Singapore Framework for 21CC and Student Outcomes,responsible decision making,A person who makes responsible decisions is able to identify and analyze the implications and consequesnces of decisions made based on sound moral considerations.
Singapore Framework for 21CC and Student Outcomes,relationship management,A person who manages relationships well is able to establish and maintain healthy relationships through effective communication and is able to work with others to resolve conflicts.
Singapore Framework for 21CC and Student Outcomes,social awareness,"A person who has social awareness is able to accurately discern different perspectives, recognize and appreciate diversity and demonstrate empathy and respect for others."
Singapore Framework for 21CC and Student Outcomes,active community life,"A person who lead an active community life, (1) demonstrates a sense of responsibility towards community, (2) is civic-minded, (3) supports and contributes through community and nation-building activities."
Singapore Framework for 21CC and Student Outcomes,global awareness,"A person with global awareness: (1) copes with change due to cultural interactions abroad; and (2) recognises, analyses and evaluates global trends and their interconnections with local communities"
Singapore Framework for 21CC and Student Outcomes,national and cultural identity,"A person with a national and cultural identity, (1) possesses a sense of responsibility to the nation; and (2) has a shared commitment to the ideals of the nation and its culture"
Singapore Framework for 21CC and Student Outcomes,socio-cultural sensitivity and awareness,"A person with socio-cultural sensitivity and awareness: (1) emphaises with others through understanding, acceptance, and respect; and (2) engages in appropriate behaviour with other socio-cultural groups in both local and international contexts, in a way which would enhance social cohesion."
"Social, Emotional, and Ethical (SEE) Learning Framework",attending to our body and sensations,"Notice and describe sensations in the body, especially those related to stress and well-being"
"Social, Emotional, and Ethical (SEE) Learning Framework",attending to emotions and feelings,Attend to and identify one’s emotions in type and intensity as they arise
"Social, Emotional, and Ethical (SEE) Learning Framework",map of the mind,Categorize emotions in relation to emotion models including the continuum from beneficial to potentially harmful
"Social, Emotional, and Ethical (SEE) Learning Framework",understanding emotions in context,"Recognize'emotions'as'they'arise'and' understand'how'they'arise'within'a'context,'including'underlying'needs,' perceptions,'and'attitudes'"
"Social, Emotional, and Ethical (SEE) Learning Framework",self-acceptance,"Accept'oneself'and'one’s'emotions'by'understanding'their' context,'allowing'for'a'relaxation'of'self?judgment'"
"Social, Emotional, and Ethical (SEE) Learning Framework",balancing the body,"Regulate the body and nervous system, especially when activated, stressed or lacking in energy, to optimize well-being"
"Social, Emotional, and Ethical (SEE) Learning Framework",cognitive and impulse control,"Sustain attention on an object, task, or experience, avoiding distraction."
"Social, Emotional, and Ethical (SEE) Learning Framework",navigating emotions,Respond constructively to impulses and emotions and cultivate the behaviors and attitudes that facilitate one’s long-term well-being
"Social, Emotional, and Ethical (SEE) Learning Framework",attending to our social reality,Recognize our inherently social nature and attend to the presence of others and the roles they play in our lives
"Social, Emotional, and Ethical (SEE) Learning Framework",attending to our shared reality with others,"Appreciate what we share with others on a fundamental level, such as wanting happiness and to avoid suffering, having emotions and body states, and other common experiences"
"Social, Emotional, and Ethical (SEE) Learning Framework",appreciating diversity and difference,"Appreciate that part of our shared reality is the diversity, uniqueness and difference of individuals and groups, learning to respect those differences and the way they add to our collective life"
"Social, Emotional, and Ethical (SEE) Learning Framework",understanding others’ feelings and emotions in context,"Understand other’s feelings in context and understand that, like oneself, others have feelings caused by needs"
"Social, Emotional, and Ethical (SEE) Learning Framework",appreciating and cultivating kindness and compassion,Value the benefits of kindness and compassion and cultivate them as a disposition
"Social, Emotional, and Ethical (SEE) Learning Framework",appreciating and cultivating other ethical dispositions,"Value and cultivate ethical dispositions and prosocial emotions, such as forgiveness, patience, contentment, generosity, and humility"
"Social, Emotional, and Ethical (SEE) Learning Framework",empathic listening,Listen attentively for the purpose of understanding others and their needs more deeply
"Social, Emotional, and Ethical (SEE) Learning Framework",skillful communication,Communicate compassionately in a way that empowers self and others
"Social, Emotional, and Ethical (SEE) Learning Framework",helping others,Offer help to others according to their needs and proportionate to one’s ability
"Social, Emotional, and Ethical (SEE) Learning Framework",conflict transformation,"Respond constructively to conflict and facilitate collaboration, reconciliation, and peaceful relations"
"Social, Emotional, and Ethical (SEE) Learning Framework",understanding interdependent systems,"Understand interdependence and the properties of systems, such as through exploring chains of cause and effect"
"Social, Emotional, and Ethical (SEE) Learning Framework",individuals within a systems context,Recognize how oneself and others exist within a systems context and affect and are affected by that context
"Social, Emotional, and Ethical (SEE) Learning Framework",appreciating the fundamental equality of all,"Extend the realization of fundamental equality and common humanity to those outside one’s immediate community and ultimately to the world, recognizing those things that we all share in common as human beings, such as our aspiration for happiness and well- being and to avoid suffering"
"Social, Emotional, and Ethical (SEE) Learning Framework",appreciating how systems affect well-being,"Recognize how systems can promote or compromise well- being on cultural and structural levels, such as by promoting positive values or perpetuating problematic beliefs and inequalities"
"Social, Emotional, and Ethical (SEE) Learning Framework",exploring one’s potential for effecting positive change in community and world,"Recognize one's own potential to effect positive change based on one's abilities and opportunity, individually or collaboratively"
"Social, Emotional, and Ethical (SEE) Learning Framework",engaging in communal and global solutions,Explore and reflect on creative solutions to issues affecting one’s community or the world
The Five Cs Model of Positive Youth Development,competence,"Positive view of one’s actions in specific areas, including social, academic, cognitive, health, and vocational. Social competence refers to interpersonal skills (e.g., conflict resolution). Cognitive competence refers to cognitive abilities (e.g., decision making). Academic competence refers to school performance as shown, in part, by school grades, attendance, and test scores. Health competence involves using nutrition, exercise, and rest to keep oneself fit. Vocational competence involves work habits and explorations of career choices. Effective entrepreneurial skills may be one instance of vocational competence."
The Five Cs Model of Positive Youth Development,confidence,An internal sense of overall positive self-worth and self-efficacy
The Five Cs Model of Positive Youth Development,connection,"Positive bonds with people and institutions that are reflected in exchanges between the individual and his or her peers, family, school, and community and in which both parties contribute to the relationship"
The Five Cs Model of Positive Youth Development,character,"Respect for societal and cultural norms, possession of standards for correct behaviors, a sense of right and wrong (morality), and integrity."
The Five Cs Model of Positive Youth Development,caring/compassion,A sense of sympathy and empathy for others.
The Five Cs Model of Positive Youth Development,contribution,"Contributions to self, family, community, and to the institutions of a civil society."
