irrelevant,misattributed FACETS,coarse FACETS item,granular FACETS item,not in FACETS,Subcategory,Max FACETS similarity,Source,Max non-FACETS similarity,Max FACETS similarity value,Max non-FACETS similarity value,Category,Brief Description,Description
,,,1,,neuroticism / emotional stability,Emotion Regulation/Reactivity,Frameworks,Emotional Stability,0.526,0.729,Big Five Personality Traits,"Emotional stability is predictability and consistency in emotional reactions, with absence of rapid mood changes. Neuroticism is a chronic level of emotional instability and proneness to psychological distress",
,,1,,,responsibility,Responsibility for Self & Others,Frameworks,responsibility,0.525,0.855,OECD,"Able to honour commitments, and be punctual and reliable.",
,,,1,,interpersonal communication skills,Social Communication,Frameworks,interpersonal skills,0.525,0.829,WHO Skills for Health,verbal/nonverbal communication active listening expressing feelings; giving feedback (without blaming) and receiving feedback,
,,,1,,Recovery,Emotion Regulation/Reactivity,Clinical scales,Recovering from Upset,0.524,0.884,Emotional Control,Bouncing back from upset,"How quickly and effectively the student returns to a calm, regulated state after experiencing strong emotions."
,,,,1,attending to our body and sensations,Sensory Reactivity,Frameworks,attending to emotions and feelings,0.524,0.676,"Social, Emotional, and Ethical (SEE) Learning Framework","Notice and describe sensations in the body, especially those related to stress and well-being",
,,,,,Anger Management,Emotion Regulation/Reactivity,FACETS,Anger Management,0.523,0.886,Emotional Expression,managing responses when provoked,"Anger is a typical experience that reflects the strong expression of annoyance, frustration, or displeasure. While anger is a typical emotion, reactions can vary from well-regulated and appropriate, to poorly modulated, disruptive, and even violent."
,,,,,Emotion Regulation/Reactivity,Anger Management,FACETS,emotion regulation,0.523,0.832,Emotional Expression,managing threshold and intensity of emotional responses,"Emotions are strong feelings derived from internal and external stimuli that are reflected in mood and responsive to environmental factors and relationships with others. These feelings may range broadly and include joy, happiness, love, euphoria, anxiety, sadness, fear, loss, and many more. These emotions play a critical role in social communication, motivation, and protection. However, in order to maintain adaptive functioning, emotions require careful regulation in terms of type, intensity, and duration of emotional expression, each of which must be sensitive to environmental, social, and cultural factors."
,,,1,,child expresses creativity in thinking and communication,Writing,Frameworks,child demonstrates flexibility in thinking and behavior,0.523,0.744,Head Start,Child expresses creativity in thinking and communication,
,,,1,,child engages in cooperative play with other children,Social Cooperation,Frameworks,child engages in prosocial and cooperative behavior with adults,0.523,0.796,Head Start,Child engages in cooperative play with other children,
,,,,1,cognitive flexibility,Thinking Speed,Frameworks,Cognitive Flexibility,0.523,0.775,K-3 SEL Standards (Connecticut),Full set of indicators in framework.,
,,,,1,Curiosity,Academic Motivation,Claude Opus 4.5,Curiosity,0.522,0.936,Motivation and Engagement,Interest in learning new things,"The student's demonstrated desire to explore, ask questions, and learn about new topics or ideas."
,,,,,Irritability,Anger Management,FACETS,Irritability,0.522,0.853,Emotional Expression,reacting to frustration or annoyance,"Irritability is a feeling of agitation and annoyance in response to a stimulus or stress. Irritability can be an appropriate response to a offensive social or physical stimulus that becomes problematic, however, the appropriate intensity of such a response varies based on the intensity and persistence of the stimulus, as well as the social context. Irritability can range from a mild facial expression or gesture to a massive outpouring of emotions."
,1,,,1,Emotional Self-Awareness,Empathy,GPT 5.2 Thinking,Emotional Awareness,0.522,0.901,Emotional Expression,recognizing and naming feelings and what triggers them,"Emotional self-awareness is the ability to notice, identify, and describe one’s feelings and the situations that influence them. It supports communication, coping, and problem solving. Limited awareness may look like difficulty explaining feelings, surprising emotional reactions, or trouble connecting emotions to events (e.g., not recognizing early signs of frustration)."
,,,,1,Self-Compassion,Self-Confidence,GPT 5.2 Thinking,self-awareness,0.522,0.599,Sense of Self,responding to mistakes with kindness and realistic self-talk,"Self-compassion is the ability to treat oneself kindly when making mistakes or experiencing setbacks. In school, it supports persistence and willingness to try again. Low self-compassion may look like harsh self-criticism, shame, or giving up after small errors; healthy self-compassion allows students to acknowledge mistakes without seeing them as personal failure."
,,,1,,Impulse Management,Self-Control,Claude Opus 4.5,Impulse Control,0.521,0.859,Behavioral Control,Thinking before acting,"The student's ability to pause and consider consequences before acting, including waiting their turn and resisting immediate urges."
,,1,,,connection,Attachment,Frameworks,Connection with Teachers and Staff,0.521,0.76,The Five Cs Model of Positive Youth Development,"Positive bonds with people and institutions that are reflected in exchanges between the individual and his or her peers, family, school, and community and in which both parties contribute to the relationship",
,,,,1,reasoning and problem solving,Planning and Organization,Frameworks,executive functioning,0.52,0.662,Sesame Workshop Global Framework for Learning,"Make connections. Children learn to process information, connect related information and prior knowledge, and then complete a task or solve a problem (e.g., our shoes are dirty so we need to wipe them on the mat before going indoors). Recognize cause and effect relationships. Children learn to recognize when one thing makes another thing happen (e.g., poking a bubble will make it pop). Compare, contrast, and sort. Children learn more about things by observing how certain characteristics are similar or different (e.g., color, shape, size, texture, or sound), and they classify, match, and sort objects based on those characteristics (e.g., putting all the blue objects into one group). Consider and choose from multiple solutions or options. Children learn to investigate multiple solutions or options to solve a problem. They think critically about each one and evaluate it, then choose the most appropriate or effective solution. Evaluate their choice. Children learn to reflect on the solution or decision they made and decide whether or not it was successful. If it was not the best choice, they may go back and try another option.",
,,,1,,skills for managing feelings,Emotion Regulation/Reactivity,Frameworks,emotional skills,0.519,0.689,WHO Skills for Health,"managing anger dealing with grief and anxiety coping with loss, abuse, and trauma",
,,,,,Play,Social Cooperation,FACETS,initiative and curiosity,0.518,0.547,Interacting with Others,playing well alone and with others,"Play is a complex set of behaviors, largely for the purpose of enjoyment, but may also provide a tool for experimentation and problem-solving in a safe or non-competitive environment. Play activities include social and imaginary use of objects and relationships as well as opportunities to practice a full spectrum of social skills, behavioral control, problem solving and much more. The complexity and function of play develops along with the development of cognitive and motor function, routines and habits, knowledge and skills, and much more. Play takes place in individual and social contexts. It may include games and toys, as well as tools and tasks typically a part of daily work (e.g., pencils, cooking utensils, sports equipment, etc.). While these playful interactions may seem to be of little purpose, they are actually serious attempts at mastery, role-playing, and practice that sets the stage for real-life skills and activities. This actual nature of the practice varies as a result of a variety of factors including context, social relationships, and developmental age."
1,,,,,brain building,Planning and Organization,Frameworks,cognitive skills,0.517,0.598,IRC Social and Emotional Learning Competencies,"The foundational cognitive skills and mental process that enable us to focus attention, remember instructions, control impulses and juggle multiple tasks.",
,,,,,child expresses confidence in own skills and positive feelings about self,Self-Confidence,Frameworks,"child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests",0.516,0.733,Head Start,Child expresses confidence in own skills and positive feelings about self.,
,,1,,1,Time Management,Screen Time,Gemini 3 Pro,manages time,0.516,0.798,Organization & Planning,allocating time effectively to tasks,"Time management involves the ability to estimate how much time a task will take, allocate time effectively, and stay within time limits. It encompasses pacing oneself during tests, finishing assignments by deadlines, and balancing multiple responsibilities. Good time management helps reduce stress and ensures that work is completed."
,,,,1,Alertness,Attention/Concentration,Claude Opus 4.5,Alertness,0.515,0.878,Energy and Alertness,Appearing awake and mentally present,The extent to which a student appears rested
,,,1,,Conversation Skills,Social Communication,Clinical scales,Conversational Skills,0.515,0.959,Communication,Back-and-forth communication,"The student's ability to engage in reciprocal conversation, including taking turns, staying on topic, and responding appropriately."
,,,1,,optimism,Future Outlook,Frameworks,optimism,0.515,0.833,KIPP,Confidence in a future full of positive possibilities,
,,,1,,learning to learn,Learning Strategies,Frameworks,learning to learn,0.515,0.858,Kenya TVET Values and Life Skills (VaLI) Framework,"The cognitive process of learning (what and how do we learn). Students have aspiration, self awareness, curiosity and vulnerability to understand and master new skills.",
,,,1,1,understanding others’ feelings and emotions in context,Empathy,Frameworks,understanding emotions in context,0.514,0.807,"Social, Emotional, and Ethical (SEE) Learning Framework","Understand other’s feelings in context and understand that, like oneself, others have feelings caused by needs",
,,1,,,social skills,Social Communication,Frameworks,Social Skills,0.514,0.737,USAID YouthPower Action Key Soft Skills for Cross-Sectoral Youth Outcomes,"Social skillsare related to getting along with others. Social skills allow youth to interact productively in social contexts and to respond to emotions or conflict in socially appropriate, non-aggressive ways. Social skills can be generally conceptualized as the ability to interact positively and pro-socially with others. Social skills predict workforce outcomes and are highly sought by employers. In the violence prevention literature, social skills are operationalized as including “interpersonal skills,” the ability to take prosocial approaches to conflicts, engaging positively with others, and the positive attribution of others’ intentions. The evidence for a link between youth’ssocial skills and violence prevention outcomesin the literature is strong and appears consistently across all categories of outcomes and contexts. Researchersand practitioners also endorsed social skills as essential for youth violence prevention.",
,,,,1,patience,Irritability,Frameworks,Patience,0.513,0.818,ACT Holistic Framework,Tolerating frustrations presented by others or by situations without expressing irritation or hostility,
,,,,1,problem-solving,Creativity,Frameworks,Problem-Solving,0.513,0.836,UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,"A problem-solver has the ability to “think through steps that lead from a given state of affairs to a desired goal” (Barbey and Baralou, 2009). Another essential aspect of purposeful thinking, problem-solving is a high-order thinking process inter-related with other important life skills, such as critical thinking, analytical thinking, decision-making and creativity. More specifically, being able to solve problems implies a process of planning, i.e., the formulation of a method to attain the desired goal. Problem-solving begins with recognizing that a problematic situation exists and establishing an understanding of the nature of the situation. It requires the solver to identify the specific problem(s) to be solved, plan and carry out a solution, and monitor and evaluate progress throughout the activity (OECD, 2015).",
,,,,1,Energy Regulation,Activity Level,Clinical scales,Energy Level,0.512,0.691,Activity Level,Managing energy and activity levels,A student's ability to modulate their energy level appropriately for different settings—settling down when needed and maintaining sufficient energy for tasks
,,,,,Habits/Routines,Morning Routine,FACETS,Study and Practice Habits,0.512,0.685,Behavior Control and Regulation,managing recurring habits,"Habits are well-practiced routines that are essential for managing daily function by creating efficiency and effectiveness processes for managing recurring tasks and addressing familiar problems. Habits are automatic behaviors, but, when necessary for successful adaptation, can be modified to accommodate changing circumstances."
,,,,,Morning Routine,Habits/Routines,FACETS,Daily Self-Care Routines,0.512,0.605,Behavior Control and Regulation,being ready when arriving at school,"Most people have a set of behaviors or actions for the beginning of each day that generally follow in a usual order and are designed to complete necessary tasks in preparation for the day’s activities. They begin with arising with sufficient time to avoid being late for the start of school, work or other daytime obligations; routines may include activities such as toileting, hygiene, dressing appropriately, eating, gathering one’s necessary belongings, and departing in a timely fashion so as to arrive at the first appointment of the day. Typically these routines are well-established so that they occur relatively automatically, obviating the need for detailed thinking about each task. In some cases, the individual does some preparation the evening before, in order to assure prompt completion of morning routines."
,,,,1,problem solving,Social Communication,Frameworks,problem-solving,0.512,0.758,The PRACTICE Model,"Problem Solving includes a range of discrete skills related to how individuals solve social problems. These skills are associated with specific facets of Conscientiousness. Much of the developmental and intervention work on social problem solving29 has emphasized an array of interconnected social information-processing skills30 individuals use when solving social problems (e.g., joining a group, resolving conflicts). These include attention to relevant cues, interpretation of cues and emotional reactions, goal setting and planning, access to behavioral responses from memory, evaluation of responses, decision making, behavioral enactment, and reflection (Crick & Dodge, 1994). Through socialization, direct instruction, and cultural influences, individuals develop relatively stable patterns of processing social (and non-social) information.",
,,,,1,critical thinking,Thinking Speed,Frameworks,critical thinking,0.512,0.888,UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,"Critical thinking, an instrumental life skill conducive to academic achievement, is a long-standing life skill, which allows ‘reflective thinking’: By thinking critically, children, youth and all individuals who learn to assess situations and assumptions, ask questions and develop various ways of thinking. Therefore, critical thinking involves higher-order executive functioning: This is a ‘meta-skill’ through which one learns to think about thinking and develop purposeful thinking processes, such as being able to discern and evaluate whether an argument makes sense or not.",
,,,,1,"skills for increasing personal confidence and abilities to assume control, take responsibility, make a difference, or bring about change",Self-Confidence,Frameworks,decision-making / problem-solving skills,0.512,0.72,WHO Skills for Health,"building self-esteem / confidence creating self-awareness skills, including awareness of rights, influences, values, attitudes, rights, strengths, and weaknesses setting goals self-evaluation / self-assessment/ self-monitoring skills",
,,,,1,Problem Solving,Creativity,GPT 5.2 Thinking,problem solving,0.512,0.916,Learning with Reasoning and Abstraction,generating solutions and trying different approaches when stuck,"Problem solving is the ability to identify a problem, consider options, and try strategies to reach a goal. In school, it may involve troubleshooting mistakes, figuring out how to start an assignment, or resolving practical classroom problems. Difficulty may appear as getting stuck quickly, repeating the same ineffective strategy, or relying on adults for solutions even when options are available."
,,1,,1,Personal Goals,Academic Motivation,GPT 5.2 Thinking,goals,0.512,0.763,Sense of Self,identifying personal goals and reflecting on progress over time,"Personal goals refer to a student’s ability to set age-appropriate goals (academic, social, or personal) and reflect on progress. Goal setting can support motivation and self-direction when goals are realistic and supported. Difficulty may show as inability to identify goals, goals that are unrealistic, or limited reflection on what helped or hindered progress."
,,,,1,decision making,Risk Taking,Frameworks,decision-making,0.511,0.829,UNICEF India Comprehensive Life Skills Framework,Choosing an option/action from amongst a set of alternatives available,
,,1,,,communicates,Social Communication,Frameworks,communicates verbally,0.51,0.72,Employability Skills,"Student summarizes information to compose written or oral presentations, posters, reports, slides, etc. This can also be as simple as explaining a problem in front of the class.",
,,,1,,collaboration/konbit,Social Cooperation,Frameworks,Cooperation,0.51,0.686,Vision of the Haitian Child in Society: Social Emotional Framework,"Social Engagment Teamwork Compromise/conflict resolution Understand/navigate social norms Engage school, family, community supports",
,,1,,,Self-Direction,Self-Control,Claude Opus 4.5,Self-Direction,0.509,0.949,Independence,Working without supervision,The student's ability to work productively and stay on task without constant adult monitoring or guidance.
,,1,,1,character,Integrity and Honesty,Frameworks,integrity,0.509,0.665,The Five Cs Model of Positive Youth Development,"Respect for societal and cultural norms, possession of standards for correct behaviors, a sense of right and wrong (morality), and integrity.",
,,1,,1,Interest & Enjoyment,Academic Motivation,Clinical scales,Enjoyment,0.508,0.871,Mood & Outlook,Engagement with activities and life,"A student's capacity to feel interested in activities, experience pleasure and enjoyment, and approach life with curiosity rather than apathy"
,,,1,,communicate clearly,Social Communication,Frameworks,skillful communication,0.508,0.701,21st Century Learning,"Articulate thoughts and ideas effectively using oral, written and nonverbal communication skills in a variety of forms and contexts; Listen effectively to decipher meaning, including knowledge, values, attitudes and intentions; Use communication for a range of purposes (e.g. to inform, instruct, motivate and persuade); Utilize multiple media and technologies, and know how to judge their effectiveness a priori as well as assess their impact; Communicate effectively in diverse environments (including multi-lingual)",
,,,,1,resilience,Perseverance,Frameworks,Resilience,0.508,0.895,The PRACTICE Model,"Resilience has been defined as the ability to “bounce back” from adversity and thrive in the context of risk. Resilience refers to a pattern over time that is characterized by good eventual adaptation despite risk, stressors, or adversity. It also is defined by the ability to appropriately and realistically connect future goals and opportunities to one’s own abilities, and to adapt as needed to situational constraints. Resilient individuals cope well with stressors and do not get derailed by stressful events but persist and remain optimistic. Although there are individual differences in stress tolerance, resilience generally is a learned process that is facilitated through positive and supportive interactions with the environment. Conscientiousness and low Neuroticism are two of the Big Five traits that align with resilience, along with Grit, but it is the expression of these traits under difficult circumstances that is the defining feature of resilience.",
,,,1,,Understanding Nonverbal Cues,Receptive Language,GPT 5.2 Thinking,Nonverbal Communication,0.508,0.81,Receptive Communication,"interpreting tone, facial expressions, gestures, and body language","Understanding nonverbal cues involves interpreting communication beyond words, including tone of voice, facial expression, gestures, and body posture. These cues help students know when someone is joking, serious, upset, or inviting conversation. Difficulty may show as misreading others’ emotions, missing subtle cues, or responding in ways that seem mismatched to the situation."
,,,,1,Mood and Happiness,Emotion Regulation/Reactivity,Clinical scales,Mood,0.507,0.827,Emotional Well-Being,General emotional state and outlook,"The student's typical emotional tone, including general cheerfulness, contentment, and capacity for enjoyment in daily activities"
,,,,1,resilience,Perseverance,Frameworks,resilience,0.507,0.933,Singapore Framework for 21CC and Student Outcomes,"A person who is resilient has emotional strength and perseveres in the face of challenges. He manifests courage, optimism, adaptability and resourcefulness.",
,,,1,,innovation,Creativity,Frameworks,collaboration,0.505,0.718,Kenya TVET Values and Life Skills (VaLI) Framework,Students are able to create something new or devise a new method of doing things,
,,,,1,Task Initiation,Task Completion,Claude Opus 4.5,Task Initiation,0.504,0.966,Motivation and Engagement,Getting started on work independently,"The student's tendency to begin assignments, activities, or responsibilities promptly without excessive prompting, avoidance, or delay."
,,,1,,Conversational Skills,Social Communication,Claude Opus 4.5,Conversation Skills,0.504,0.959,Communication,Engaging in back-and-forth dialogue,"The student's ability to participate in reciprocal conversations, including turn-taking, staying on topic, and responding appropriately to what others say."
,,,,1,sense of belonging,Attachment,Frameworks,Sense of Belonging,0.504,0.885,Building Blocks for Learning,A sense that one has a rightful place in a given academic setting and can claim full membership in a classroom community.,
,,1,,1,cognitive processes and strategies,Learning Strategies,Frameworks,cognitive skills,0.504,0.704,Hilton & Pellegrino Clusters of 21st Century Competencies,"Critical thinking, problem solving, analysis, reasoning/argumentation, interpretation, decision making, adaptive learning, executive function",
,,,1,,Prioritizing and Sequencing,Planning and Organization,GPT 5.2 Thinking,Task Organization,0.504,0.661,Organization & Planning,deciding what to do first and organizing steps to complete tasks,"Prioritizing and sequencing reflect how a student chooses what to do first and how they order steps to complete an assignment. It supports managing multi-step tasks, avoiding missed components, and working efficiently. Difficulty may show as starting with less important parts, skipping steps, or feeling overwhelmed when several tasks compete for attention."
,,,1,,academic tenacity,Perseverance,Frameworks,resilience,0.502,0.602,Building Blocks for Learning,"The beliefs and skills that allow students to look beyond short-term concerns to longer-term or higher-order goals, and withstand challenges and setbacks to persevere toward these goals.",
,,,1,,"emotional mood swings change the individual's perspective to pessimistic, encouraging consideration of multiple points of view",Emotion Regulation/Reactivity,Frameworks,Mood Stability,0.502,0.592,Emotional Intelligence,"Emotional mood swings change the individual's perspective to pessimistic, encouraging consideration of multiple points of view.",
,,,1,,child holds information in mind and manipulates it to perform tasks,Planning and Organization,Frameworks,"child manages actions, words, and behavior with increasing independence",0.502,0.734,Head Start,Child holds information in mind and manipulates it to perform tasks,
,,,1,,"ability to recognize likely transitions among emotions, such as the transition from anger to satisfaction, or from anger to shame",Emotion Regulation/Reactivity,Frameworks,"ability to label emotions and recognize relations among the words and the emotions themselves, such as the relation between liking and loving",0.501,0.842,Emotional Intelligence,"Ability to recognize likely transitions among emotions, such as the transition from anger to satisfaction, or from anger to shame.",
,,,1,,communicates verbally,Expressive Language,Frameworks,communicates,0.501,0.72,Employability Skills,Student provides oral responses. Evidence ranges from impromptu short answers during a lesson to completing a formal oral presentation.,
,,,1,,child uses imagination in play and interactions with others,Play,Frameworks,child expresses creativity in thinking and communication,0.501,0.723,Head Start,Child uses imagination in play and interactions with others,
,,,,1,Verbal Conduct,Assertiveness,Claude Opus 4.5,Verbal Conduct,0.5,0.915,Behavior,Appropriateness of spoken interactions,The degree to which a student's verbal behavior is respectful
,,,1,,teamwork,Social Cooperation,Frameworks,teamwork and collaboration,0.5,0.81,The PRACTICE Model,"Teamwork refers broadly to a set of skills involved in getting along with others, understanding their feelings and points of view, communicating effectively, being helpful and agreeable, and not engaging in aggressive or bullying behaviors. In the social-emotional domain it has been defined more regularly as “relationship skills” that enable individuals to get along with and work effectively with others, including people from diverse cultures. Teamwork is highest among individuals who score high on personality traits of Extraversion and Agreeableness.",
,,1,,1,Time Awareness,Screen Time,Claude Opus 4.5,Time Awareness,0.499,0.981,Organization and Planning,Managing time effectively,"The student's sense of time, including awareness of deadlines, pacing during tasks, and allocating appropriate time to activities."
,,1,,1,Adaptability,Transitions,Clinical scales,Adaptability,0.499,0.902,Independence and Adaptability,Adjusting to changes and new situations,"How well the student handles transitions, changes in routine, new environments, and unexpected circumstances"
1,,,1,,sense of self as a learner,Self-Confidence,Frameworks,sense of self as competent and capable,0.498,0.801,K-3 SEL Standards (Connecticut),Full set of indicators in framework.,
,,,1,,Mood Stability,Emotion Regulation/Reactivity,Claude Opus 4.5,Mood Stability,0.496,0.98,Emotional Regulation,Consistency of emotional state over time,"The extent to which the student's general mood remains relatively steady throughout the day, without rapid or unpredictable shifts."
,,1,,,Self-Direction,Self-Control,Clinical scales,Self-Direction,0.496,0.949,Independence,Working independently,The student's ability to initiate and sustain work or activities without constant adult direction or supervision.
,,,1,,School-Related Nervousness,Worries/Anxiety/Fears,Clinical scales,Social Nervousness,0.496,0.72,Worry & Nervousness,Anxiety connected to school,"Concerns or fears specifically related to school—including worry about tests, being called on, going to school, or academic performance"
,,,1,,responsible decision making,Responsibility for Self & Others,Frameworks,responsible decision making,0.496,0.941,CASEL,"The ability to make constructive choices about personal behavior and social interactions based on ethical standards, safety concerns, and social norms. The realistic evaluation of consequences of various actions, and a consideration of the well-being of oneself and others. Identifying problems Analyzing situations Solving problems Evaluating Reflecting Ethical responsibility",
,,,,1,"ability to discriminate between accurate and inaccurate, or honest versus dishonest expressions of feeling",Integrity and Honesty,Frameworks,"ability to express emotions accurately, and to express needs related to those feelings",0.496,0.717,Emotional Intelligence,"Ability to discriminate between accurate and inaccurate, or honest versus dishonest expressions of feeling.",
,,,1,,attending to our social reality,Social Engagement,Frameworks,attending to our shared reality with others,0.496,0.801,"Social, Emotional, and Ethical (SEE) Learning Framework",Recognize our inherently social nature and attend to the presence of others and the roles they play in our lives,
,,1,,,social/emotional intelligence,Social Communication,Frameworks,social intelligence,0.495,0.833,Character Lab,Social/Emotional intelligence is understanding feelings and using them to inform actions.,
,,,,1,student demonstrates awareness of other people's emotions and perspectives,Emotion Regulation/Reactivity,Frameworks,students demonstrate an awareness of their emotions,0.494,0.87,K-12 SEL Standards (Anchorage),Full set of indicators in framework.,
,1,,1,1,"students demonstrate the ability to prevent, manage, and resolve interpersonal conflicts in constructive ways",Assertiveness,Frameworks,Conflict Resolution,0.494,0.836,K-12 SEL Standards (Anchorage),Full set of indicators in framework.,
,,,,1,problem solving,Creativity,Frameworks,Problem-Solving,0.494,0.923,Kenya TVET Values and Life Skills (VaLI) Framework,"Students demonstrate the ability of finding solutions to both simple and complex issues. The ability to think through various steps, identifying and understanding a problem and devising a solution to address it.",
,,,,1,initiative,Academic Motivation,Frameworks,initiative,0.494,0.811,The PRACTICE Model,"Initiative can be conceptualized as the “active ingredient” that motivates individuals to operate as positive and successful actors in their own lives and in systems. Initiative hinges on personal agency31 and an internal locus of control, a belief that outcomes depend on one’s own actions rather than fate, chance, or others. It is linked to enterprise, taking charge, follow-through, determination, and leadership. It also facilitates effective engagement within organizational contexts. Although initiative and achievement motivation are related, they are distinct skills. Initiative relates to any type of “take charge” action such as picking up litter on the street, whereas achievement motivation is linked to a desire to succeed and is associated with setting long-term academic and career goals and following this pursuit in spite of obstacles that may occur along the way. Initiative correlates with mastery orientation to achievement and relates to the personality traits of Openness to Experience and Conscientiousness.",
,,,1,,optimism,Future Outlook,Frameworks,optimism,0.493,0.827,Character Lab,Optimism is being hopeful about future outcomes combined with the agency to shape that future.,
,,,,1,Academic Performance,Academic Motivation,Clinical scales,students demonstrate ability to set and achieve goals,0.492,0.656,Academic Engagement,Quality and consistency of schoolwork,"Observable patterns in the student's work quality, including effort, accuracy, and meeting academic expectations"
,,,1,,collaborative problem solving,Social Cooperation,Frameworks,Problem-Solving,0.492,0.678,ACT Holistic Framework,Contributing to group problem-solving processes,
,,,,1,child demonstrates initiative and independence,Planning and Organization,Frameworks,"child manages actions, words, and behavior with increasing independence",0.492,0.806,Head Start,Child demonstrates initiative and independence,
1,,,1,,students demonstrate ability to set and achieve goals,Academic Motivation,Frameworks,students demonstrate awareness of their personal traits,0.491,0.703,K-12 SEL Standards (Anchorage),Full set of indicators in framework.,
,1,1,,,cognitive skills,Fine Motor Skills,Frameworks,cognitive processes and strategies,0.49,0.704,LEGO&#x27;s Skills for Holistic Development,"Concentration, problem solving and flexible thinking by learning to tackle complex tasks and building effective strategies to identify solutions.",
,,,1,,respect for diversity,Tolerance,Frameworks,appreciating diversity and difference,0.49,0.722,UNICEF MENA Life Skills and Citizenship Education - Conceptual and Programmatic Framework,"In the context of the LSCE Initiative, ‘respect for diversity’ – or being respectful of diversity – is conceptualized as a key interpersonal life skill. It is based on the understanding developed by moral philosophers that acknowledges that human beings are equal participants in a common ethical world by virtue of their human status (Janoff-Bulmann et al., 2008). In this composite life skill, the concept of diversity means understanding that each individual is unique and recognizing each other’s individual differences. These can be defined along the dimensions of race, ethnicity, gender, sexual orientation, socio-economic status, age, physical abilities, religious beliefs, political beliefs, or other characteristics. Respect for diversity thus implies more than just tolerance, which is related to accepting differences passively, it means acknowledging and promoting the equal worth of peoples, without condescension (UNICEF, 2007b).",
,,,1,,Recovering from Upset,Emotion Regulation/Reactivity,Clinical scales,Recovering from Upset,0.489,0.936,Emotional Regulation,Bouncing back after frustration,"How quickly and effectively a student can calm down and return to normal functioning after experiencing a setback, disappointment, or emotional upset"
,,,1,,action planning,Planning and Organization,Frameworks,planning,0.489,0.563,ACT Holistic Framework,"Based on an individual’s education or occupation choice, thinking through and specifying the preparatory steps one would take as an informed consumer to achieve that goal; formulating a practical and realistic course of action (e.g., deciding on tasks and timelines, building strategies, determining and allocating resources)",
,,,1,,students can read social cues,Social Communication,Frameworks,students demonstrate awareness of their personal traits,0.488,0.682,K-12 SEL Standards (Anchorage),Full set of indicators in framework.,
,,,,1,critical and analytical thinking,Thinking Speed,Frameworks,critical thinking,0.488,0.743,K-3 SEL Standards (Connecticut),Full set of indicators in framework.,
,,,1,,responsible decision making,Responsibility for Self & Others,Frameworks,responsible decision making,0.488,0.941,Singapore Framework for 21CC and Student Outcomes,A person who makes responsible decisions is able to identify and analyze the implications and consequesnces of decisions made based on sound moral considerations.,
,,,,1,Resilience,Perseverance,Gemini 3 Pro,resilience,0.488,0.928,Emotional Well-Being,recovering from setbacks,"Resilience is the psychological strength to cope with stress and hardship. It is the ability to 'bounce back' from failures, disappointments, or adverse events. A resilient student can handle a poor grade or a social rejection without being overwhelmed, using the experience to learn and grow."
,,,,1,Effort,Academic Motivation,Claude Opus 4.5,Effort Toward Schoolwork,0.487,0.851,Motivation and Engagement,Amount of energy invested in schoolwork,"The degree to which the student applies themselves to academic tasks, tries their best, and demonstrates genuine investment in the quality of their work."
,,,1,,Mood Stability,Emotion Regulation/Reactivity,Clinical scales,Mood Stability,0.487,0.98,Emotional Regulation,Consistency of emotional state,The degree to which a student maintains a relatively stable emotional baseline versus experiencing frequent or rapid shifts between different mood states
,,,1,,child maintains focus and sustains attention with minimal adult support,Attention/Concentration,Frameworks,child engages in and maintains positive relationships and interactions with adults,0.487,0.715,Head Start,Child maintains focus and sustains attention with minimal adult support,
,,,,1,School Belonging,Attachment,Clinical scales,School Belonging,0.486,0.956,Academic Engagement,Connection to school environment,"A student's sense of feeling safe, welcome, and engaged at school—including enjoyment of being there and feeling like they matter to the school community"
,,,,1,self-awareness,Self-Image,Frameworks,sense of self as competent and capable,0.486,0.73,K-3 SEL Standards (Connecticut),Full set of indicators in framework.,
,1,,1,,thinking and communicating with clarity and precision,Thinking Speed,Frameworks,communicate clearly,0.485,0.608,Habits of Mind,"Language refinement plays a critical role in enhancing a person’s cognitive maps, and their ability to think critically which is the knowledge base for efficacious action. Enriching the complexity and specificity of language simultaneously produces effective thinking. Language and thinking are closely entwined. Like either side of a coin, they are inseparable. When you hear fuzzy language, it is a reflection of fuzzy thinking. Intelligent people strive to communicate accurately in both written and oral form taking care to use precise language, defining terms, using correct names and universal labels and analogies. They strive to avoid overgeneralizations, deletions and distortions. Instead they support their statements with explanations, comparisons, quantification, and evidence.",
,,,,1,Alertness,Attention/Concentration,Claude Opus 4.5,Alertness,0.484,0.878,Energy and Alertness,State of wakefulness and mental readiness,"The degree to which the student appears awake, attentive, and mentally present during instruction and activities, versus drowsy, sluggish, or fatigued."
,,,,1,conscientiousness,Perseverance,Frameworks,work ethic and conscientiousness,0.484,0.682,Big Five Personality Traits,"the tendency to be organized, responsible, and hardworking",
,,,1,,organizes,Planning and Organization,Frameworks,Organization,0.484,0.696,Employability Skills,"Student uses graphic organizer—outline, concept map, organization chart, tables, etc. to sort information/data.",
,,,1,,Organization,Planning and Organization,Claude Opus 4.5,Organization,0.483,0.889,Independence,Keeping track of materials and responsibilities,The degree to which a student maintains order with belongings
