"Source","Category","Subcategory","Brief Description","Description","Max FACETS similarity value","Max FACETS similarity","Max non-FACETS similarity value","Max non-FACETS similarity","Redundant FACETS","Redundant non-FACETS"
"Frameworks","Habits of Mind","gathering data through all senses","Intelligent people know that all information gets into the brain through the sensory pathways: gustatory, olfactory, tactile, kinesthetic, auditory, visual, Most linguistic, cultural, and physical learning is derived from the environment by observing or taking in through the senses. To know a wine it must be drunk; to know a role it must be acted; to know a game it must be played; to know a dance it must be moved; to know a goal it must be envisioned. Those whose sensory pathways are open, alert, and acute absorb more information from the environment than those whose pathways are withered, immune, and oblivious to sensory stimuli.","","0.569","Sensory Reactivity","0.465","applying past knowledge to new situations","Yes","Yes"
"Frameworks","Habits of Mind","creating, imagining, and innovating","All human beings have the capacity to generate novel, original, clever or ingenious products, solutions, and techniques—if that capacity is developed. Creative human beings try to conceive problem solutions differently, examining alternative possibilities from many angles. They tend to project themselves into different roles using analogies, starting with a vision and working backward, imagining they are the objects being considered. Creative people take risks and frequently push the boundaries of their perceived limits (Perkins 1985). They are intrinsically rather than extrinsically motivated, working on the task because of the aesthetic challenge rather than the material rewards. Creative people are open to criticism. They hold up their products for others to judge and seek feedback in an ever-increasing effort to refine their technique. They are uneasy with the status quo. They constantly strive for greater fluency, elaboration, novelty, parsimony, simplicity, craftsmanship, perfection, beauty, harmony, and balance.","","0.666","Creativity","0.793","creativity","Yes","Yes"
"Frameworks","Habits of Mind","responding with wonderment and awe","Describing the 200 best and brightest of the All USA College Academic Team identified by USA Today, Tracey Wong Briggs (1999) states, “They are creative thinkers who have a passion for what they do.” Efficacious people have not only an ""I CAN"" attitude, but also an ""I ENJOY"" feeling. They seek problems to solve for themselves and to submit to others. They delight in making up problems to solve on their own and request enigmas from others. They enjoy figuring things out by themselves, and continue to learn throughout their lifetimes. We want our students, however to be curious; to commune with the world around them; to reflect on the changing formations of a cloud; feel charmed by the opening of a bud; sense the logical simplicity of mathematical order. Students can find beauty in a sunset, intrigue in the geometric of a spider web, and exhilaration at the iridescence of a hummingbird's wings. They see the congruity and intricacies in the derivation of a mathematical formula, recognize the orderliness and adroitness of a chemical change, and commune with the serenity of a distant constellation. We want them feel compelled, enthusiastic and passionate about learning, inquiring and mastering.","","0.372","Thinking Speed","0.606","learning continuously","Yes","Yes"
"Frameworks","Habits of Mind","taking responsible risks","Flexible people seem to have an almost uncontrollable urge to go beyond established limits. They are uneasy about comfort; they ""live on the edge of their competence"". They seem compelled to place themselves in situations where they do not know what the outcome will be. They accept confusion, uncertainty, and the higher risks of failure as part of the normal process and they learn to view setbacks as interesting, challenging and growth producing. However, they are not behaving impulsively. Their risks are educated. They draw on past knowledge, are thoughtful about consequences and have a well-trained sense of what is appropriate. They know that all risks are not worth taking! Risk taking can be considered in two categories: those who see it as a venture and those who see it as adventure. The venture part of risk taking might be described by the venture capitalist. When a person is approached to take the risk of investing in a new business, she will look at the markets, see how well organized the ideas are, and study the economic projections. If she finally decides to take the risk, it is a well considered one.The adventure part of risk taking might be described by the experiences from project adventure. In this situation, there is a spontaneity, a willingness to take a chance in the moment. Once again, a person will only take the chance if they know that there is either past history that suggests that what they are doing is not going to be life threatening or if they believe that there is enough support in the group to protect them from harm. Ultimately, the learning from such high-risk experiences is that people are far more able to take actions than they previously believed. It is only through repeated experiences that risk taking becomes educated. It often is a cross between intuition, drawing on past knowledge and a sense of meeting new challenges. Bobby Jindal, executive Director of the National Bipartisan Commission on the Future of Medicare states, “The only way to succeed is to be brave enough to risk failure. “ (Briggs, 1999 p 2A) When someone holds back from taking risks, he is confronted constantly with missed opportunities. Some students seem reluctant to take risks. Some students hold back games, new learning, and new friendships because their fear of failure is far greater than their experience of venture or adventure. They are reinforced by the mental voice that says, “ if you don’t try it, you won’t be wrong” or “if you try it and you are wrong, you will look stupid”. The other voice that might say, “if you don’t try it, you will never know” is trapped in fear and mistrust. They are more interested in knowing whether their answer is correct or not, rather than being challenged by the process of finding the answer. They are unable to sustain a process of problem solving and finding the answer over time, and therefore avoid ambiguous situations. They have a need for certainty rather than an inclination for doubt. We hope that students will learn how to take intellectual as well as physical risks. Students who are capable of being different, going against the grain of the common, thinking of new ideas and testing them with peers as well as teachers, are more likely to be successful in this age of innovation and uncertainty.","","0.692","Risk Taking","0.722","risk-takers","Yes","Yes"
"Frameworks","Habits of Mind","finding humor","Another unique attribute of human beings is our sense of humor. Laughter transcends all human beings. Its’ positive effects on psychological functions include a drop in the pulse rate, the secretion of endorphins, an increased oxygen in the blood. It has been found to liberate creativity and provoke such higher level thinking skills as anticipation, finding novel relationships, visual imagery, and making analogies. People who engage in the mystery of humor have the ability to perceive situations from an original and often interesting vantagepoint. They tend to initiate humor more often, to place greater value on having a sense of humor, to appreciate and understand others' humor and to be verbally playful when interacting with others. Having a whimsical frame of mind, they thrive on finding incongruity and perceiving absurdities, ironies and satire; finding discontinuities and being able to laugh at situations and themselves. Some students find humor in all the ""wrong places""--human differences, ineptitude, injurious behavior, vulgarity, violence and profanity. They laugh at others yet are unable to laugh at themselves. We want our student to acquire the characteristic of creative problem solvers, they can distinguish between situations of human frailty and fallibility which are in need of compassion and those which are truly funny. (Dyer, 1997).","","0.366","Play","0.703","Sense of Humor","Yes","Yes"
"Frameworks","Habits of Mind","thinking interdependently","Human beings are social beings. We congregate in groups, find it therapeutic to be listened to, draw energy from one another, and seek reciprocity. In groups we contribute our time and energy to tasks that we would quickly tire of when working alone. In fact, we have learned that one of the cruelest forms of punishment that can be inflicted on an individual is solitary confinement. Cooperative humans realize that all of us together are more powerful, intellectually and/or physically, than any one individual. Probably the foremost disposition in the post industrial society is the heightened ability to think in concert with others; to find ourselves increasingly more interdependent and sensitive to the needs of others. Problem solving has become so complex that no one person can go it alone. No one has access to all the data needed to make critical decisions; no one person can consider as many alternatives as several people can. Some students may not have learned to work in groups; they have underdeveloped social skills. They feel isolated, they prefer their solitude. ""Leave me alone--I'll do it by my self"". "" They just don't like me"". ""I want to be alone."" Some students seem unable to contribute to group work either by being a ""job hog"" or conversely, letting others do all the work. Working in groups requires the ability to justify ideas and to test the feasibility of solution strategies on others. It also requires the development of a willingness and openness to accept the feedback from a critical friend. Through this interaction the group and the individual continue to grow. Listening, consensus seeking, giving up an idea to work with someone else's, empathy, compassion, group leadership, knowing how to support group efforts, altruism--all are behaviors indicative of cooperative human beings.","","0.531","Social Cooperation","0.75","Cooperation","Yes","Yes"
"Frameworks","Habits of Mind","learning continuously","Intelligent people are in a continuous learning mode. Their confidence, in combination with their inquisitiveness, allows them to constantly search for new and better ways. People with this Habit of Mind are always striving for improvement, always growing, always learning, always modifying and improving themselves. They seize problems, situations, tensions, conflicts and circumstances as valuable opportunities to learn. A great mystery about humans is that we confront learning opportunities with fear rather than mystery and wonder. We seem to feel better when we know rather than when we learn. We defend our biases, beliefs, and storehouses of knowledge rather than inviting the unknown, the creative and the inspirational. Being certain and closed gives us comfort while being doubtful and open gives us fear. From an early age, employing a curriculum of fragmentation, competition and reactiveness, students are trained to believe that deep learning means figuring out the truth rather than developing capabilities for effective and thoughtful action. They have been taught to value certainty rather than doubt, to give answers rather than to inquire, to know which choice is correct rather than to explore alternatives. Our wish is for creative students and people who are eager to learn. That includes the humility of knowing that we don't know, which is the highest form of thinking we will ever learn. Paradoxically, unless you start off with humility you will never get anywhere, so as the first step you have to have already what will eventually be the crowning glory of all learning: the humility to know--and admit--that you don't know and not be afraid to find out.","","0.482","Thinking Speed","0.606","responding with wonderment and awe","Yes","Yes"
"Frameworks","Head Start","child manages emotions with increasing independence","Child manages emotions with increasing independence","","0.473","Emotion Regulation/Reactivity","1.0","child manages emotions with increasing independence","Yes","Yes"
"Frameworks","Head Start","child follows classroom rules and routines with increasing independence","Child follows classroom rules and routines with increasing independence","","0.34","Planning and Organization","0.815","child manages actions, words, and behavior with increasing independence","No","Yes"
"Frameworks","Head Start","child appropriately handles and takes care of classroom materials","Child appropriately handles and takes care of classroom materials","","0.321","Planning and Organization","0.663","child follows classroom rules and routines with increasing independence","No","Yes"
"Frameworks","Head Start","child manages actions, words, and behavior with increasing independence","Child manages actions, words, and behavior with increasing independence","","0.463","Planning and Organization","0.864","child manages emotions with increasing independence","Yes","Yes"
"Frameworks","Head Start","child demonstrates an increasing ability to control impulses","Child demonstrates an increasing ability to control impulses","","0.366","Planning and Organization","0.75","child demonstrates initiative and independence","Yes","Yes"
"Frameworks","Head Start","child maintains focus and sustains attention with minimal adult support","Child maintains focus and sustains attention with minimal adult support","","0.487","Attention/Concentration","0.715","child engages in and maintains positive relationships and interactions with adults","Yes","Yes"
"Frameworks","Head Start","child persists in tasks","Child persists in tasks","","0.354","Perseverance","0.535","child holds information in mind and manipulates it to perform tasks","Yes","Yes"
"Frameworks","Head Start","child holds information in mind and manipulates it to perform tasks","Child holds information in mind and manipulates it to perform tasks","","0.502","Planning and Organization","0.734","child manages actions, words, and behavior with increasing independence","Yes","Yes"
"Frameworks","Head Start","child demonstrates flexibility in thinking and behavior","Child demonstrates flexibility in thinking and behavior","","0.383","Planning and Organization","0.744","child expresses creativity in thinking and communication","Yes","Yes"
"Frameworks","Head Start","child demonstrates initiative and independence","Child demonstrates initiative and independence","","0.492","Planning and Organization","0.806","child manages actions, words, and behavior with increasing independence","Yes","Yes"
"Frameworks","Head Start","child shows interest in and curiosity about the world around them","Child shows interest in and curiosity about the world around them","","0.324","Play","0.728","child expresses care and concern toward others","No","Yes"
"Frameworks","Head Start","child expresses creativity in thinking and communication","Child expresses creativity in thinking and communication","","0.523","Writing","0.744","child demonstrates flexibility in thinking and behavior","Yes","Yes"
"Frameworks","Head Start","child uses imagination in play and interactions with others","Child uses imagination in play and interactions with others","","0.501","Play","0.723","child expresses creativity in thinking and communication","Yes","Yes"
"Frameworks","Head Start","child engages in and maintains positive relationships and interactions with adults","Child engages in and maintains positive relationships and interactions with adults","","0.329","Play","0.934","child engages in and maintains positive interactions and relationships with other children","No","Yes"
"Frameworks","Head Start","child engages in prosocial and cooperative behavior with adults","Child engages in prosocial and cooperative behavior with adults","","0.392","Social Cooperation","0.834","child engages in and maintains positive relationships and interactions with adults","Yes","Yes"
"Frameworks","Head Start","child engages in and maintains positive interactions and relationships with other children","Child engages in and maintains positive interactions and relationships with other children","","0.367","Play","0.934","child engages in and maintains positive relationships and interactions with adults","Yes","Yes"
"Frameworks","Head Start","child engages in cooperative play with other children","Child engages in cooperative play with other children","","0.523","Social Cooperation","0.796","child engages in prosocial and cooperative behavior with adults","Yes","Yes"
"Frameworks","Head Start","child uses basic problem-solving skills to resolve conflicts with other children","Child uses basic problem-solving skills to resolve conflicts with other children","","0.381","Learning Strategies","0.724","child engages in and maintains positive relationships and interactions with adults","Yes","Yes"
"Frameworks","Head Start","child expresses a broad range of emotions and recognizes these emotions in self and others","Child expresses a broad range of emotions and recognizes these emotions in self and others","","0.424","Emotion Regulation/Reactivity","0.773","child manages emotions with increasing independence","Yes","Yes"
"Frameworks","Head Start","child expresses care and concern toward others","Child expresses care and concern toward others","","0.304","Expressive Language","0.758","child engages in and maintains positive interactions and relationships with other children","No","Yes"
"Frameworks","Head Start","child manages emotions with increasing independence","Child manages emotions with increasing independence","","0.473","Emotion Regulation/Reactivity","1.0","child manages emotions with increasing independence","Yes","Yes"
"Frameworks","Head Start","child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests","Child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests.","","0.59","Self-Image","0.743","child expresses a broad range of emotions and recognizes these emotions in self and others","Yes","Yes"
"Frameworks","Head Start","child expresses confidence in own skills and positive feelings about self","Child expresses confidence in own skills and positive feelings about self.","","0.516","Self-Confidence","0.733","child recognizes self as a unique individual having own abilities, characteristics, emotions, and interests","Yes","Yes"
"Frameworks","Head Start","child has sense of belonging to family, community, and other groups","Child has sense of belonging to family, community, and other groups.","","0.335","Attachment","0.705","child engages in and maintains positive interactions and relationships with other children","No","Yes"
"Frameworks","Hilton & Pellegrino Clusters of 21st Century Competencies","cognitive processes and strategies","Critical thinking, problem solving, analysis, reasoning/argumentation, interpretation, decision making, adaptive learning, executive function","","0.504","Learning Strategies","0.704","cognitive skills","Yes","Yes"
"Frameworks","Hilton & Pellegrino Clusters of 21st Century Competencies","knowledge","Information literacy (research using evidence and recognizing bias in sources); information and communications technology literacy; oral and written communication; active listening","","0.442","Reading","0.642","technology and information literacy","Yes","Yes"
"Frameworks","Hilton & Pellegrino Clusters of 21st Century Competencies","creativity","Creativity, innovation","","0.585","Creativity","0.731","creativity","Yes","Yes"
"Frameworks","Hilton & Pellegrino Clusters of 21st Century Competencies","intellectual openness","Flexibility, adaptability, artistic and cultural appreciation, personal and social responsibility (including cultural awareness and competence), appreciation for diversity, adaptability, continuous learning, intellectual interest and curiosity","","0.435","Creativity","0.719","open-minded","Yes","Yes"
"Frameworks","Hilton & Pellegrino Clusters of 21st Century Competencies","work ethic and conscientiousness","Initiative, self-direction, responsibility, perseverance, productivity, grit, Type 1 self- regulation (metacognitive skills, including forethought, performance, and self- reflection), professionalism/ ethics, integrity, citizenship, career orientation","","0.403","Perseverance","0.682","conscientiousness","Yes","Yes"
"Frameworks","Hilton & Pellegrino Clusters of 21st Century Competencies","positive core self-evaluation","Type 2 self-regulation (self- monitoring, self-evaluation, self- reinforcement), physical and psychological health","","0.435","Self-Image","0.585","positive self-concept","Yes","Yes"
"Frameworks","Hilton & Pellegrino Clusters of 21st Century Competencies","teamwork and collaboration","Communication, collaboration, teamwork, cooperation, coordination, interpersonal skills, empathy/perspective taking, trust, service orientation, conflict resolution, negotiation","","0.442","Social Cooperation","0.81","teamwork","Yes","Yes"
"Frameworks","Hilton & Pellegrino Clusters of 21st Century Competencies","leadership","Leadership, responsibility, assertive communication, self- presentation, social influence with others","","0.363","Self-Control","0.634","governence and leadership","Yes","Yes"
"Frameworks","IB Learner Profile","inquirers","We nurture our curiosity, developing skills for inquiry and research. We know how to learn independently and with others. We learn with enthusiasm and sustain our love of learning throughout life.","","0.252","Bullying","0.562","curiosity","No","Yes"
"Frameworks","IB Learner Profile","knowledgeable","We develop and use conceptual understanding, exploring knowledge across a range of disciplines. We engage with issues and ideas that have local and global significance.","","0.339","Creativity","0.49","thinkers","No","Yes"
"Frameworks","IB Learner Profile","thinkers","We use critical and creative thinking skills to analyse and take responsible action on complex problems. We exercise initiative in making reasoned, ethical decisions.","","0.445","Creativity","0.686","thinks critically","Yes","Yes"
"Frameworks","IB Learner Profile","communicators","We express ourselves confidently and creatively in more than one language and in many ways. We collaborate effectively, listening carefully to the perspectives of other individuals and groups.","","0.436","Social Communication","0.547","communicate clearly","Yes","Yes"
"Frameworks","IB Learner Profile","principled","We act with integrity and honesty, with a strong sense of fairness and justice, and with respect for the dignity and rights of people everywhere. We take responsibility for our actions and their consequences.","","0.528","Integrity and Honesty","0.675","caring","Yes","Yes"
"Frameworks","IB Learner Profile","open-minded","We critically appreciate our own cultures and personal histories, as well as the values and traditions of others. We seek and evaluate a range of points of view, and we are willing to grow from the experience.","","0.419","Tolerance","0.719","intellectual openness","Yes","Yes"
"Frameworks","IB Learner Profile","caring","We show empathy, compassion and respect. We have a commitment to service, and we act to make a positive difference in the lives of others and in the world around us.","","0.426","Empathy","0.708","care","Yes","Yes"
"Frameworks","IB Learner Profile","risk-takers","We approach uncertainty with forethought and determination; we work independently and cooperatively to explore new ideas and innovative strategies. We are resourceful and resilient in the face of challenges and change.","","0.677","Risk Taking","0.722","taking responsible risks","Yes","Yes"
"Frameworks","IB Learner Profile","balanced","We understand the importance of balancing different aspects of our lives—intellectual, physical, and emotional—to achieve well-being for ourselves and others. We recognize our interdependence with other people and with the world in which we live.","","0.357","Tolerance","0.651","balancing the body","Yes","Yes"
"Frameworks","IB Learner Profile","reflective","We thoughtfully consider the world and our own ideas and experience. We work to understand our strengths and weaknesses in order to support our learning and personal development","","0.385","Creativity","0.708","reflection","Yes","Yes"
"Frameworks","IRC Social and Emotional Learning Competencies","brain building","The foundational cognitive skills and mental process that enable us to focus attention, remember instructions, control impulses and juggle multiple tasks.","","0.517","Planning and Organization","0.598","cognitive skills","Yes","Yes"
"Frameworks","IRC Social and Emotional Learning Competencies","emotion regulation","The set of skills that allows us to understand our own emotions and manage our feelings in a positive manner.","","0.832","Emotion Regulation/Reactivity","0.74","emotion management","Yes","Yes"
"Frameworks","IRC Social and Emotional Learning Competencies","positive social skills","The set of skills which allow us to relate to one another in a positive way, through understanding others’ feelings and behavior and responding in a way that promotes positive social interaction.","","0.591","Social Communication","0.799","social skills","Yes","Yes"
"Frameworks","IRC Social and Emotional Learning Competencies","conflict resolution skills","The set of skills which helps us address problems and conflicts between individuals in a positive manner as they arise.","","0.355","Assertiveness","0.782","Conflict Resolution","Yes","Yes"
"Frameworks","IRC Social and Emotional Learning Competencies","perseverance","The set of skills that allows us to push through challenges and continue to work towards a realistic goal.","","0.881","Perseverance","0.654","perseverance","Yes","Yes"
"Frameworks","IRC Social and Emotional Learning Competencies","mindfulness","Mindfulness is cross-cutting throughout IRC’s approach to SEL, addressing skills in all five competencies. Mindfulness is defined as: the state of being aware and focused on the present moment; accepting the present while being open and curious about what is happening around and inside us. Students learn the benefits of mindfulness for reducing feelings of anxiety and stress, focusing their attention and learning to persevere through hardship.","","0.472","Attention/Concentration","0.561","self-management","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students demonstrate an awareness of their emotions","Full set of indicators in framework.","","0.545","Emotion Regulation/Reactivity","0.87","student demonstrates awareness of other people's emotions and perspectives","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students demonstrate awareness of their personal traits","Full set of indicators in framework.","","0.407","Academic Motivation","0.703","students demonstrate ability to set and achieve goals","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students demonstrate awareness of their external supports","Full set of indicators in framework.","","0.391","Academic Motivation","0.684","students demonstrate consideration for others and a desire to positively contribute to their community","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students have a sense of personal responsibility","Full set of indicators in framework.","","0.559","Responsibility for Self & Others","0.731","Taking Responsibility","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students demonstrate ability to manage their emotions constructively","Full set of indicators in framework.","","0.553","Emotion Regulation/Reactivity","0.826","students demonstrate an awareness of their emotions","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students demonstrate honestly/integrity","Full set of indicators in framework.","","0.624","Integrity and Honesty","0.8","integrity","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students use effective decision-making skills","Full set of indicators in framework.","","0.39","Learning Strategies","0.719","Decision-Making","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students demonstrate ability to set and achieve goals","Full set of indicators in framework.","","0.491","Academic Motivation","0.703","students demonstrate awareness of their personal traits","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","student demonstrates awareness of other people's emotions and perspectives","Full set of indicators in framework.","","0.494","Emotion Regulation/Reactivity","0.87","students demonstrate an awareness of their emotions","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students demonstrate consideration for others and a desire to positively contribute to their community","Full set of indicators in framework.","","0.419","Academic Motivation","0.701","students demonstrate honestly/integrity","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students demonstrate an awareness of cultural issues and a respect for human dignity and differences","Full set of indicators in framework.","","0.361","Sexual/Gender Identity and Behavior","0.667","students demonstrate consideration for others and a desire to positively contribute to their community","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students can read social cues","Full set of indicators in framework.","","0.488","Social Communication","0.682","students demonstrate awareness of their personal traits","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students use positive communication and social skills to interact effectively with others","Full set of indicators in framework.","","0.561","Social Communication","0.682","students develop constructive relationships","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students develop constructive relationships","Full set of indicators in framework.","","0.351","Assertiveness","0.801","students demonstrate the ability to prevent, manage, and resolve interpersonal conflicts in constructive ways","Yes","Yes"
"Frameworks","K-12 SEL Standards (Anchorage)","students demonstrate the ability to prevent, manage, and resolve interpersonal conflicts in constructive ways","Full set of indicators in framework.","","0.494","Assertiveness","0.836","Conflict Resolution","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","self-awareness","Full set of indicators in framework.","","0.486","Self-Image","0.73","sense of self as competent and capable","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","sense of self as competent and capable","Full set of indicators in framework.","","0.552","Self-Image","0.801","sense of self as a learner","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","sense of self as a learner","Full set of indicators in framework.","","0.498","Self-Confidence","0.801","sense of self as competent and capable","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","curiosity and initiative","Full set of indicators in framework.","","0.427","Academic Motivation","0.706","initiative","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","cooperation during learning experiences","Full set of indicators in framework.","","0.625","Social Cooperation","0.743","Cooperation","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","identifying and understanding emotions","Full set of indicators in framework.","","0.588","Emotion Regulation/Reactivity","0.74","students demonstrate an awareness of their emotions","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","empathy","Full set of indicators in framework.","","0.619","Empathy","0.74","empathy","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","social awareness and interpersonal skills","Full set of indicators in framework.","","0.615","Social Communication","0.751","social awareness","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","responsible decision making and social problem solving","Full set of indicators in framework.","","0.415","Responsibility for Self & Others","0.762","responsible decision making","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","conflict resolution","Full set of indicators in framework.","","0.319","Assertiveness","0.579","self-awareness","No","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","working memory and meta-cognition","Full set of indicators in framework.","","0.543","Thinking Speed","0.709","working memory","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","cognitive flexibility","Full set of indicators in framework.","","0.523","Thinking Speed","0.775","Cognitive Flexibility","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","self-regulation of impulses and emotional reaction","Full set of indicators in framework.","","0.647","Emotion Regulation/Reactivity","0.667","self-control","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","managing attention and behavior","Full set of indicators in framework.","","0.588","Attention/Concentration","0.662","self-awareness","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","critical and analytical thinking","Full set of indicators in framework.","","0.488","Thinking Speed","0.743","critical thinking","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","applying information to new experiences","Full set of indicators in framework.","","0.347","Transitions","0.579","self-awareness","No","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","reasoning and problem solving","Full set of indicators in framework.","","0.426","Planning and Organization","0.75","problem solving","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","symbolic representation","Full set of indicators in framework.","","0.359","Reading","0.616","pretend or symbolic play","Yes","Yes"
"Frameworks","K-3 SEL Standards (Connecticut)","pretend or symbolic play","Full set of indicators in framework.","","0.468","Play","0.616","symbolic representation","Yes","Yes"
"Frameworks","KIPP","zest","Enthusiastic and energetic participation in life","","0.373","Creativity","0.837","zest","Yes","Yes"
"Frameworks","KIPP","grit","Perseverance and passion for long-term goals","","0.465","Perseverance","0.818","grit","Yes","Yes"
"Frameworks","KIPP","optimism","Confidence in a future full of positive possibilities","","0.515","Future Outlook","0.833","optimism","Yes","Yes"
"Frameworks","KIPP","self-control","The capacity to regulate one's own responses so they align with short and long-term goals","","0.855","Self-Control","0.942","self-control","Yes","Yes"
"Frameworks","KIPP","gratitiude","Appreciation for the benefits we receive from others, and the desire to express thanks","","0.329","Task Completion","0.898","gratitiude","No","Yes"
"Frameworks","KIPP","social intelligence","Understanding the feelings of others and adapting actions accordingly","","0.559","Social Communication","0.833","social/emotional intelligence","Yes","Yes"
"Frameworks","KIPP","curiosity","Eagerness to explore new things with openness","","0.424","Academic Motivation","0.888","curiosity","Yes","Yes"
"Frameworks","Kenya BECF Core Competencies for Basic Education","communication and collaboration","Communication is the act of transferring information from one place to another, whether vocally, visually, or non-verbally. The discipline of communication focuses on how people use messages to generate meanings within and across various contexts, cultures, channels, and media. The discipline promotes the effective and ethical practice of human communication. Collaboration is the process of two or more people or organizations working together to realize shared goals. Collaboration may require leadership, although this can be social within decentralized or egalitarian groups or teams that work collaboratively in relation to gaining greater resources, recognition and motivation.","","0.635","Social Communication","0.756","Collaboration","Yes","Yes"
"Frameworks","Kenya BECF Core Competencies for Basic Education","self-efficacy","Self-efficacy is a person’s belief about his or her capabilities to perform tasks or assignments that can change and transform his or her life. It determines how the person feels, thinks, behaves and motivates themselves. Self-efficacy has the potential to determine four major processes namely cognitive, motivational, affective and selection processes.","","0.7","Self-Confidence","0.948","self-efficacy","Yes","Yes"
"Frameworks","Kenya BECF Core Competencies for Basic Education","critical thinking and problem solving","An important outcome of quality education is teaching learners how to think critically. The British Council (2015) identifies three types of thinking: reasoning, making judgements, and problem solving. It is possible for learners to reason in an uncritical way. When learners are empowered with critical thinking, they avoid being subjective, and use logic and evidence to arrive at conclusions. Critical thinking also facilitates exploring new ways of doing things and learner autonomy. Learners learn that for every issue there are multiple perspectives that they can explore, rather than a rigid recall and regurgitation of information.","","0.477","Thinking Speed","0.824","critical thinking","Yes","Yes"
"Frameworks","Kenya BECF Core Competencies for Basic Education","creativity and imagination","Creativity and imagination refers to the ability to form new images and sensations in the mind, and to turn them into reality(British Council, 2016). It is the ability to imagine things that are not real, to form pictures in the mind of things that one has not seen or experienced, and turn those pictures into real things. It also refers to the act or power of forming mental images of things that are not present to the senses, or that are never wholly perceived in reality, and creating physical representations of those images.","","0.788","Creativity","0.797","creativity","Yes","Yes"
"Frameworks","Kenya BECF Core Competencies for Basic Education","citizenship","Citizenship is the state of being vested with the rights, privileges, and duties of a citizen. It creates a sense of belonging and attachment to one's nation.A sense of citizenship helps to equip young people to deal with situations of conflict and controversy knowledgeably and tolerantly. They are able to understand the consequences of their actions, and those of the adults around them.","","0.308","Empathy","0.748","global citizenship","No","Yes"
"Frameworks","Kenya BECF Core Competencies for Basic Education","digital literacy","Digital literacy can be described as having the knowledge, skills and behaviours which are necessary to effectively and safely use a wide range of digital content and devices. Such devices include mobile phones, smartphones, tablets, laptops and desktops among others. All these fall within the category of network enabled devices. Digital literacy focuses mainly on network enabled devices and should not be confused with computer literacy skills. However, traditional forms of literacy and computer literacy are enhancers in the acquisition of digital literacy skills.","","0.456","Reading","0.652","technology and information literacy","Yes","Yes"
"Frameworks","Kenya BECF Core Competencies for Basic Education","learning to learn","Learning to learn is the ability to pursue and persist in learning, to organise one’s own learning by the effective management of time and information, both individually and in groups. This competence includes awareness of one’s learning process and needs, identifying available opportunities, and the ability to overcome obstacles in order to learn successfully. This competence means gaining, processing and assimilating new knowledge and skills as well as seeking and making use of guidance. Learning to learn helps learners to build on prior learning and life experiences in order to use and apply knowledge and skills in a variety of contexts. There are four pillars of learning: Learning to know, learning to do, learning to be and learning to live to live together.","","0.546","Learning Strategies","0.858","learning to learn","Yes","Yes"
"Frameworks","Kenya TVET Values and Life Skills (VaLI) Framework","love","Students are able to be genuine in caring, showing compassion for and being kind towards others regardless of what one gets in return, enabling one to act favourably towards the less fortunate or those who may be indifferent towards them.","","0.429","Academic Motivation","0.749","peace","Yes","Yes"
